,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2019-01-03,ГАЗПРОМ ао,GAZP,21927,2210472430.1,154.13,154.11,157.3,156.28,155.92,156.28,14178500,155.9,155.9,156.28,2210472430.1,2210472430.1,2210472430.1,
1,TQBR,2019-01-04,ГАЗПРОМ ао,GAZP,20229,2297413672.7,156.71,156.71,159.15,159.15,157.75,159.15,14563370,157.75,157.75,159.15,2297413672.7,2297413672.7,2297413672.7,
2,TQBR,2019-01-08,ГАЗПРОМ ао,GAZP,23666,2686999296.3,158.75,156.55,158.94,158.26,157.68,158.26,17041340,157.68,157.68,158.26,2686999296.3,2686999296.3,2686999296.3,
3,TQBR,2019-01-09,ГАЗПРОМ ао,GAZP,27500,3059300418.1,158.88,158.4,160.4,160.24,159.74,160.24,19149630,159.76,159.76,160.24,3059300418.1,3059300418.1,3059300418.1,
4,TQBR,2019-01-10,ГАЗПРОМ ао,GAZP,30145,3175534988.4,159.75,157.56,160.2,160.2,159.17,160.2,19950220,159.17,159.17,160.2,3175534988.4,3175534988.4,3175534988.4,
5,TQBR,2019-01-11,ГАЗПРОМ ао,GAZP,23950,2826231240.6,160.2,159.8,161.13,161.0,160.51,161.0,17607210,160.52,160.52,161.0,2826231240.6,2826231240.6,2826231240.6,
6,TQBR,2019-01-14,ГАЗПРОМ ао,GAZP,17361,2014123125.0,159.7,159.2,160.75,160.48,159.94,160.48,12593250,159.94,159.94,160.48,2014123125.0,2014123125.0,2014123125.0,
7,TQBR,2019-01-15,ГАЗПРОМ ао,GAZP,29839,3321625635.6,160.97,157.35,161.5,158.15,159.16,158.15,20870220,159.16,159.16,158.15,3321625635.6,3321625635.6,3321625635.6,
8,TQBR,2019-01-16,ГАЗПРОМ ао,GAZP,28597,3272113248.5,158.5,155.8,158.75,156.9,156.82,156.9,20866610,156.81,156.81,156.9,3272113248.5,3272113248.5,3272113248.5,
9,TQBR,2019-01-17,ГАЗПРОМ ао,GAZP,24386,2539975044.1,157.4,155.6,157.4,157.1,156.36,157.1,16244460,156.36,156.36,157.1,2539975044.1,2539975044.1,2539975044.1,
10,TQBR,2019-01-18,ГАЗПРОМ ао,GAZP,24376,2893233884.1,158.16,157.43,159.2,159.2,158.36,159.2,18270390,158.36,158.36,159.2,2893233884.1,2893233884.1,2893233884.1,
11,TQBR,2019-01-21,ГАЗПРОМ ао,GAZP,16366,1896518870.0,159.02,158.01,160.07,158.3,159.09,158.3,11919340,159.11,159.11,158.3,1896518870.0,1896518870.0,1896518870.0,
12,TQBR,2019-01-22,ГАЗПРОМ ао,GAZP,24984,2974542703.3,157.86,156.57,158.5,158.5,157.87,158.5,18842130,157.87,157.87,158.5,2974542703.3,2974542703.3,2974542703.3,
13,TQBR,2019-01-23,ГАЗПРОМ ао,GAZP,18349,2319156029.1,158.24,158.02,159.9,159.9,159.2,159.9,14567930,159.2,159.2,159.9,2319156029.1,2319156029.1,2319156029.1,
14,TQBR,2019-01-24,ГАЗПРОМ ао,GAZP,41684,5739386068.0,159.78,158.86,162.78,160.9,160.97,160.9,35655300,160.97,160.97,160.9,5739386068.0,5739386068.0,5739386068.0,
15,TQBR,2019-01-25,ГАЗПРОМ ао,GAZP,22504,3195777916.0,161.61,160.18,162.82,162.82,161.69,162.82,19765260,161.69,161.69,162.82,3195777916.0,3195777916.0,3195777916.0,
16,TQBR,2019-01-28,ГАЗПРОМ ао,GAZP,33778,3858065769.1,162.4,159.82,163.58,160.56,161.44,160.56,23896920,161.45,161.45,160.56,3858065769.1,3858065769.1,3858065769.1,
