,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2019-01-03,МосБиржа,MOEX,21049,812691090.8,80.95,80.77,84.49,84.49,82.95,84.49,9797330,82.95,82.95,84.49,812691090.8,812691090.8,812691090.8,
1,TQBR,2019-01-04,МосБиржа,MOEX,11567,475115006.1,84.5,83.58,84.8,84.0,84.23,84.0,5640400,84.23,84.23,84.0,475115006.1,475115006.1,475115006.1,
2,TQBR,2019-01-08,МосБиржа,MOEX,14687,572808692.3,84.46,83.33,84.85,83.7,83.85,83.7,6832940,83.83,83.83,83.7,572808692.3,572808692.3,572808692.3,
3,TQBR,2019-01-09,МосБиржа,MOEX,20791,779476540.8,84.21,83.41,84.27,83.93,83.86,83.93,9295330,83.86,83.86,83.93,779476540.8,779476540.8,779476540.8,
4,TQBR,2019-01-10,МосБиржа,MOEX,18168,607702672.9,84.06,83.7,84.89,84.7,84.54,84.7,7188760,84.54,84.54,84.7,607702672.9,607702672.9,607702672.9,
5,TQBR,2019-01-11,МосБиржа,MOEX,36001,1943779994.3,84.77,84.7,88.19,88.0,86.89,88.0,22371470,86.89,86.89,88.0,1943779994.3,1943779994.3,1943779994.3,
6,TQBR,2019-01-14,МосБиржа,MOEX,26718,1321104893.6,87.56,86.44,88.75,88.3,87.28,88.3,15137490,87.27,87.27,88.3,1321104893.6,1321104893.6,1321104893.6,
7,TQBR,2019-01-15,МосБиржа,MOEX,27125,1360037241.3,88.67,88.37,91.1,88.86,89.42,88.86,15213850,89.39,89.39,88.86,1360037241.3,1360037241.3,1360037241.3,
8,TQBR,2019-01-16,МосБиржа,MOEX,25069,1247818908.2,88.75,88.53,90.95,90.1,90.14,90.1,13844020,90.13,90.13,90.1,1247818908.2,1247818908.2,1247818908.2,
9,TQBR,2019-01-17,МосБиржа,MOEX,16096,627412883.9,90.25,89.84,90.96,90.05,90.17,90.05,6957870,90.17,90.17,90.05,627412883.9,627412883.9,627412883.9,
10,TQBR,2019-01-18,МосБиржа,MOEX,32784,1639450819.0,90.61,90.51,93.69,93.33,92.57,93.33,17705290,92.6,92.6,93.33,1639450819.0,1639450819.0,1639450819.0,
11,TQBR,2019-01-21,МосБиржа,MOEX,19596,978339193.7,93.39,92.85,94.83,94.7,94.05,94.7,10407130,94.01,94.01,94.7,978339193.7,978339193.7,978339193.7,
12,TQBR,2019-01-22,МосБиржа,MOEX,15008,670700364.9,94.1,93.57,94.55,94.4,94.0,94.4,7133460,94.02,94.02,94.4,670700364.9,670700364.9,670700364.9,
13,TQBR,2019-01-23,МосБиржа,MOEX,16304,757184067.2,94.39,93.8,95.39,94.4,94.65,94.4,7999990,94.65,94.65,94.4,757184067.2,757184067.2,757184067.2,
14,TQBR,2019-01-24,МосБиржа,MOEX,32021,1387360618.1,94.1,91.25,94.35,91.8,92.42,91.8,15011090,92.42,92.42,91.8,1387360618.1,1387360618.1,1387360618.1,
15,TQBR,2019-01-25,МосБиржа,MOEX,24391,911597319.7,91.96,90.36,93.2,91.49,91.28,91.49,9987290,91.28,91.28,91.49,911597319.7,911597319.7,911597319.7,
16,TQBR,2019-01-28,МосБиржа,MOEX,15458,654887500.9,91.35,90.05,92.43,90.5,91.03,90.5,7194340,91.03,91.03,90.5,654887500.9,654887500.9,654887500.9,
17,TQBR,2019-01-29,МосБиржа,MOEX,20528,890466268.1,90.13,89.52,91.8,91.8,90.68,91.8,9819660,90.68,90.68,91.8,890466268.1,890466268.1,890466268.1,
18,TQBR,2019-01-30,МосБиржа,MOEX,22053,827078669.1,91.62,90.7,91.95,91.9,91.52,91.9,9037650,91.51,91.51,91.9,827078669.1,827078669.1,827078669.1,
19,TQBR,2019-01-31,МосБиржа,MOEX,25853,1240854743.0,92.11,92.03,93.77,92.82,93.07,92.82,13332510,93.07,93.07,92.82,1240854743.0,1240854743.0,1240854743.0,
20,TQBR,2019-02-01,МосБиржа,MOEX,13985,664548770.5,92.61,92.56,94.23,93.5,93.67,93.5,7094150,93.68,93.68,93.5,664548770.5,664548770.5,664548770.5,
21,TQBR,2019-02-04,МосБиржа,MOEX,15534,549958126.4,93.94,92.5,94.38,92.7,93.17,92.7,5902870,93.17,93.17,92.7,549958126.4,549958126.4,549958126.4,
22,TQBR,2019-02-05,МосБиржа,MOEX,17383,524225599.2,92.75,91.7,92.76,91.7,92.16,91.7,5687940,92.16,92.16,91.7,524225599.2,524225599.2,524225599.2,
23,TQBR,2019-02-06,МосБиржа,MOEX,11793,524168371.2,91.88,91.18,92.7,91.5,91.82,91.5,5708900,91.82,91.82,91.5,524168371.2,524168371.2,524168371.2,
24,TQBR,2019-02-07,МосБиржа,MOEX,16733,658417273.4,91.49,89.9,91.49,90.07,90.49,90.07,7275520,90.5,90.5,90.07,658417273.4,658417273.4,658417273.4,
25,TQBR,2019-02-08,МосБиржа,MOEX,8810,303705074.2,89.89,89.7,91.2,90.7,90.59,90.7,3352650,90.59,90.59,90.7,303705074.2,303705074.2,303705074.2,
26,TQBR,2019-02-11,МосБиржа,MOEX,17472,694740120.1,90.3,90.17,91.69,90.3,90.95,90.3,7638450,90.95,90.95,90.3,694740120.1,694740120.1,694740120.1,
27,TQBR,2019-02-12,МосБиржа,MOEX,29403,1179670053.3,90.62,89.76,90.92,89.94,90.08,89.94,13095760,90.08,90.08,89.94,1179670053.3,1179670053.3,1179670053.3,
28,TQBR,2019-02-13,МосБиржа,MOEX,49289,2338212293.1,90.29,87.52,91.45,88.8,89.11,88.8,26240260,89.11,89.11,88.8,2338212293.1,2338212293.1,2338212293.1,
29,TQBR,2019-02-14,МосБиржа,MOEX,30704,1496714802.5,87.98,87.26,89.84,89.12,88.74,89.12,16865740,88.74,88.74,89.12,1496714802.5,1496714802.5,1496714802.5,
30,TQBR,2019-02-15,МосБиржа,MOEX,17094,859502974.0,89.23,89.05,90.15,90.15,89.59,90.15,9593620,89.59,89.59,90.15,859502974.0,859502974.0,859502974.0,
31,TQBR,2019-02-18,МосБиржа,MOEX,25013,707562672.0,90.15,89.5,90.65,89.71,90.08,89.71,7855080,90.08,90.08,89.71,707562672.0,707562672.0,707562672.0,
32,TQBR,2019-02-19,МосБиржа,MOEX,17929,728879385.7,89.7,89.0,90.2,89.52,89.46,89.52,8148020,89.45,89.45,89.52,728879385.7,728879385.7,728879385.7,
33,TQBR,2019-02-20,МосБиржа,MOEX,20441,746667745.3,90.0,89.55,90.08,89.6,89.83,89.6,8311900,89.83,89.83,89.6,746667745.3,746667745.3,746667745.3,
34,TQBR,2019-02-21,МосБиржа,MOEX,22979,730156759.0,89.85,88.77,89.94,88.91,89.24,88.91,8182170,89.24,89.24,88.91,730156759.0,730156759.0,730156759.0,
35,TQBR,2019-02-22,МосБиржа,MOEX,11074,353029889.8,89.35,88.98,89.7,89.5,89.4,89.5,3948750,89.4,89.4,89.5,353029889.8,353029889.8,353029889.8,
36,TQBR,2019-02-25,МосБиржа,MOEX,9414,450053786.4,89.62,89.32,90.15,89.67,89.82,89.67,5010550,89.82,89.82,89.67,450053786.4,450053786.4,450053786.4,
37,TQBR,2019-02-26,МосБиржа,MOEX,8195,413155884.3,89.7,89.11,90.43,90.43,89.72,90.43,4604890,89.72,89.72,90.43,413155884.3,413155884.3,413155884.3,
38,TQBR,2019-02-27,МосБиржа,MOEX,15481,792236413.3,90.55,89.94,91.16,90.67,90.51,90.67,8752610,90.51,90.51,90.67,792236413.3,792236413.3,792236413.3,
39,TQBR,2019-02-28,МосБиржа,MOEX,7191,528318358.7,90.4,89.91,91.22,91.22,90.71,91.22,5824150,90.71,90.71,91.22,528318358.7,528318358.7,528318358.7,
40,TQBR,2019-03-01,МосБиржа,MOEX,13811,707798204.9,91.22,90.72,91.95,91.57,91.34,91.57,7746690,91.37,91.37,91.57,707798204.9,707798204.9,707798204.9,
41,TQBR,2019-03-04,МосБиржа,MOEX,20819,897220025.5,91.75,91.44,93.37,92.44,92.54,92.44,9694490,92.55,92.55,92.44,897220025.5,897220025.5,897220025.5,
42,TQBR,2019-03-05,МосБиржа,MOEX,16954,730629976.2,92.44,91.6,93.22,92.38,92.34,92.38,7912110,92.34,92.34,92.38,730629976.2,730629976.2,730629976.2,
43,TQBR,2019-03-06,МосБиржа,MOEX,23613,1240267583.8,92.53,92.53,94.6,93.6,93.61,93.6,13249020,93.61,93.61,93.6,1240267583.8,1240267583.8,1240267583.8,
44,TQBR,2019-03-07,МосБиржа,MOEX,16749,814901692.7,93.59,93.09,94.72,93.95,93.96,93.95,8672430,93.96,93.96,93.95,814901692.7,814901692.7,814901692.7,
45,TQBR,2019-03-11,МосБиржа,MOEX,16007,711041621.6,93.65,93.03,94.92,93.14,94.0,93.14,7564350,94.0,94.0,93.14,711041621.6,711041621.6,711041621.6,
46,TQBR,2019-03-12,МосБиржа,MOEX,15980,598827841.1,93.67,92.91,94.1,93.0,93.41,93.0,6410460,93.41,93.41,93.0,598827841.1,598827841.1,598827841.1,
47,TQBR,2019-03-13,МосБиржа,MOEX,18040,931155914.0,93.0,91.62,93.69,91.82,92.35,91.82,10083190,92.35,92.35,91.82,931155914.0,931155914.0,931155914.0,
48,TQBR,2019-03-14,МосБиржа,MOEX,19523,652253129.0,92.0,91.0,92.21,91.5,91.28,91.5,7144510,91.29,91.29,91.5,652253129.0,652253129.0,652253129.0,
49,TQBR,2019-03-15,МосБиржа,MOEX,9994,611045300.9,91.66,90.71,91.81,91.08,91.24,91.08,6697700,91.23,91.23,91.08,611045300.9,611045300.9,611045300.9,
50,TQBR,2019-03-18,МосБиржа,MOEX,15550,523642267.1,91.5,90.77,91.94,91.45,91.36,91.45,5731780,91.36,91.36,91.45,523642267.1,523642267.1,523642267.1,
51,TQBR,2019-03-19,МосБиржа,MOEX,16330,530622120.2,91.71,90.9,91.94,91.11,91.24,91.11,5815800,91.24,91.24,91.11,530622120.2,530622120.2,530622120.2,
52,TQBR,2019-03-20,МосБиржа,MOEX,13931,557596303.0,91.16,90.11,91.29,90.54,90.7,90.54,6147740,90.7,90.7,90.54,557596303.0,557596303.0,557596303.0,
53,TQBR,2019-03-21,МосБиржа,MOEX,20178,833134556.1,90.8,90.31,90.9,90.63,90.52,90.63,9204100,90.52,90.52,90.63,833134556.1,833134556.1,833134556.1,
54,TQBR,2019-03-22,МосБиржа,MOEX,24740,759320843.2,90.66,89.05,90.88,89.08,89.62,89.08,8473080,89.62,89.62,89.08,759320843.2,759320843.2,759320843.2,
55,TQBR,2019-03-25,МосБиржа,MOEX,27131,1157721798.8,89.08,88.4,90.63,90.5,89.67,90.5,12924750,89.57,89.57,90.5,1157721798.8,1157721798.8,1157721798.8,
56,TQBR,2019-03-26,МосБиржа,MOEX,14162,652113321.3,90.62,90.27,91.78,91.07,91.11,91.07,7158170,91.1,91.1,91.07,652113321.3,652113321.3,652113321.3,
57,TQBR,2019-03-27,МосБиржа,MOEX,11412,449932241.9,91.2,90.2,91.58,90.61,90.73,90.61,4959270,90.73,90.73,90.61,449932241.9,449932241.9,449932241.9,
58,TQBR,2019-03-28,МосБиржа,MOEX,5735,177311387.3,90.3,90.11,90.75,90.64,90.5,90.64,1959310,90.5,90.5,90.64,177311387.3,177311387.3,177311387.3,
