BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2014-06-09,ГАЗПРОМ ао,GAZP,32981,5851238809.2,144.0,143.03,146.2,144.4,145.02,144.4,40347300,145.02,145.02,145.02,5850366169.2,5850366169.2,5850366169.2,
TQBR,2014-06-10,ГАЗПРОМ ао,GAZP,34667,5956066807.8,144.31,142.67,144.76,144.75,143.65,144.75,41460990,143.65,143.65,143.65,5954475068.5,5954475068.5,5954475068.5,
TQBR,2014-06-11,ГАЗПРОМ ао,GAZP,35615,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,
TQBR,2014-06-16,ГАЗПРОМ ао,GAZP,54979,11134531747.3,144.0,142.58,145.27,145.2,144.29,145.2,77165360,144.29,144.29,144.29,11114890147.3,11114890147.3,11114890147.3,
TQBR,2014-06-17,ГАЗПРОМ ао,GAZP,37142,6436430233.0,145.3,143.72,146.37,144.77,145.06,144.77,44370530,145.06,145.06,145.06,6430821653.0,6430821653.0,6430821653.0,
TQBR,2014-06-18,ГАЗПРОМ ао,GAZP,31478,4832639667.8,144.79,144.43,146.19,145.0,145.25,145.0,33270240,145.25,145.25,145.25,4831818708.5,4831818708.5,4831818708.5,
TQBR,2014-06-19,ГАЗПРОМ ао,GAZP,44182,6552395455.3,146.4,145.04,147.69,145.2,146.68,145.2,44670940,146.68,146.68,146.68,6522585487.3,6522585487.3,6522585487.3,
TQBR,2014-06-20,ГАЗПРОМ ао,GAZP,27900,4907720591.4,145.05,144.28,145.88,145.6,145.29,145.6,33779020,145.29,145.29,145.29,4904826843.9,4904826843.9,4904826843.9,
TQBR,2014-06-23,ГАЗПРОМ ао,GAZP,33417,4963198922.4,146.2,145.07,147.27,147.17,146.31,147.17,33923270,146.31,146.31,146.31,4959491290.4,4959491290.4,4959491290.4,
TQBR,2014-06-24,ГАЗПРОМ ао,GAZP,79272,13200142387.4,147.65,147.56,153.42,153.25,150.78,153.25,87546740,150.78,150.78,150.78,13196229662.4,13196229662.4,13196229662.4,
TQBR,2014-06-25,ГАЗПРОМ ао,GAZP,51549,9973343107.4,152.48,149.01,154.21,149.26,151.39,149.26,65879300,151.39,151.39,151.39,9960832123.4,9960832123.4,9960832123.4,
TQBR,2014-06-26,ГАЗПРОМ ао,GAZP,45393,7863811096.6,149.63,147.02,150.44,147.44,148.3,147.44,53026000,148.3,148.3,148.3,7858985529.1,7858985529.1,7858985529.1,
TQBR,2014-06-27,ГАЗПРОМ ао,GAZP,35997,5138975884.3,148.0,147.22,149.88,149.39,148.68,149.39,34563280,148.68,148.68,148.68,5136823964.3,5136823964.3,5136823964.3,
TQBR,2014-06-30,ГАЗПРОМ ао,GAZP,33465,5186346628.8,149.81,146.58,150.18,148.96,148.09,148.96,35020610,148.09,148.09,148.09,5185620050.3,5185620050.3,5185620050.3,
TQBR,2014-07-01,ГАЗПРОМ ао,GAZP,31247,5787329103.9,148.51,146.65,149.5,148.97,148.09,148.97,39080070,148.09,148.09,148.09,5785627179.3,5785627179.3,5785627179.3,
TQBR,2014-07-02,ГАЗПРОМ ао,GAZP,44417,7341929045.5,149.09,148.9,151.95,151.95,150.33,151.95,48839500,150.33,150.33,150.33,7340098220.3,7340098220.3,7340098220.3,
TQBR,2014-07-03,ГАЗПРОМ ао,GAZP,38013,7465358592.0,152.0,151.41,153.66,152.3,152.56,152.3,48933580,152.56,152.56,152.56,7455607792.0,7455607792.0,7455607792.0,
TQBR,2014-07-04,ГАЗПРОМ ао,GAZP,33779,5775204168.7,153.0,148.25,153.09,149.13,151.21,149.13,38192290,151.21,151.21,151.21,5768013168.7,5768013168.7,5768013168.7,
TQBR,2014-07-07,ГАЗПРОМ ао,GAZP,34553,5162092985.1,149.1,149.09,151.4,150.31,150.49,150.31,34302070,150.49,150.49,150.49,5160388772.1,5160388772.1,5160388772.1,
TQBR,2014-07-08,ГАЗПРОМ ао,GAZP,48491,7613322488.2,150.53,150.52,153.53,151.43,152.25,151.43,50005770,152.25,152.25,152.25,7610096630.3,7610096630.3,7610096630.3,
TQBR,2014-07-09,ГАЗПРОМ ао,GAZP,37831,6635952229.4,151.11,149.01,151.77,150.4,150.45,150.4,44106880,150.45,150.45,150.45,6635323611.8,6635323611.8,6635323611.8,
TQBR,2014-07-10,ГАЗПРОМ ао,GAZP,52403,8759399278.7,150.8,147.1,151.52,148.79,149.25,148.79,58690960,149.25,149.25,149.25,8758797586.7,8758797586.7,8758797586.7,
TQBR,2014-07-11,ГАЗПРОМ ао,GAZP,34517,5330962084.1,148.85,146.91,149.25,148.15,148.06,148.15,36005010,148.06,148.06,148.06,5325473984.6,5325473984.6,5325473984.6,
TQBR,2014-07-14,ГАЗПРОМ ао,GAZP,34414,5667338940.6,148.42,146.51,148.8,147.5,147.56,147.5,38407230,147.56,147.56,147.56,5666849154.6,5666849154.6,5666849154.6,
TQBR,2014-07-15,ГАЗПРОМ ао,GAZP,42893,8138996571.9,147.8,146.52,148.37,146.52,147.55,146.52,55159950,147.55,147.55,147.55,8136831301.9,8136831301.9,8136831301.9,
TQBR,2014-07-16,ГАЗПРОМ ао,GAZP,52341,7927024503.9,140.35,140.1,143.1,142.5,141.7,142.5,55942320,141.7,141.7,141.7,7903995875.9,7903995875.9,7903995875.9,
TQBR,2014-07-17,ГАЗПРОМ ао,GAZP,50321,8583925881.7,140.23,138.23,141.0,140.0,139.46,140.0,61550720,139.46,139.46,139.46,8556911974.5,8556911974.5,8556911974.5,
TQBR,2014-07-18,ГАЗПРОМ ао,GAZP,45494,7358496662.9,138.0,136.5,139.41,139.26,137.86,139.26,53377680,137.86,137.86,137.86,7348951202.9,7348951202.9,7348951202.9,
TQBR,2014-07-21,ГАЗПРОМ ао,GAZP,43305,6390851583.4,140.3,135.2,140.44,136.01,136.74,136.01,46735750,136.74,136.74,136.74,6373796715.4,6373796715.4,6373796715.4,
TQBR,2014-07-22,ГАЗПРОМ ао,GAZP,35295,4887545802.1,136.82,136.05,138.87,137.75,137.65,137.75,35508000,137.65,137.65,137.65,4880550195.5,4880550195.5,4880550195.5,
TQBR,2014-07-23,ГАЗПРОМ ао,GAZP,34240,4890084830.5,138.2,135.2,139.0,136.29,136.98,136.29,35700000,136.98,136.98,136.98,4890015730.5,4890015730.5,4890015730.5,
TQBR,2014-07-24,ГАЗПРОМ ао,GAZP,26979,3183710555.3,136.0,135.15,137.36,136.9,136.37,136.9,23345280,136.38,136.38,136.38,3180725355.3,3180725355.3,3180725355.3,
TQBR,2014-07-25,ГАЗПРОМ ао,GAZP,37065,4798740012.8,136.5,134.22,136.83,135.12,135.13,135.12,35511270,135.13,135.13,135.13,4798037037.8,4798037037.8,4798037037.8,
