,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2013-03-25,Сбербанк,SBER,140,59340002.8,96.0,96.0,101.14,98.66,99.95,98.79,593680,99.99,99.99,99.99,8572433621.95,8572433621.95,8572433621.95,
1,TQBR,2013-03-26,Сбербанк,SBER,183,126030358.8,98.58,97.08,99.31,97.13,98.19,97.2,1283550,97.82,97.82,97.82,12218468579.3,12218468579.3,12218468579.3,
2,TQBR,2013-03-27,Сбербанк,SBER,176,121835900.2,97.9,95.39,98.0,96.73,96.55,96.75,1261950,96.45,96.45,96.45,12519812986.55,12519812986.55,12519812986.55,
3,TQBR,2013-03-28,Сбербанк,SBER,299,192469794.9,96.38,95.72,98.66,98.64,97.63,98.59,1971410,97.74,97.74,97.74,12572809760.42,12572809760.42,12572809760.42,
4,TQBR,2013-03-29,Сбербанк,SBER,121,77268860.1,98.6,98.32,99.09,98.83,98.81,98.76,782000,98.77,98.77,98.77,2611473832.5,2611473832.5,2611473832.5,
5,TQBR,2013-04-01,Сбербанк,SBER,441,224932551.3,98.37,97.55,99.43,98.08,98.67,98.07,2279650,98.52,98.52,98.52,4378601077.8,4378601077.8,4378601077.8,
6,TQBR,2013-04-02,Сбербанк,SBER,740,350934591.7,98.12,98.04,99.45,98.96,98.72,98.93,3555020,98.72,98.72,98.72,8787806487.92,8787806487.92,8787806487.92,
7,TQBR,2013-04-03,Сбербанк,SBER,839,372483219.4,98.9,98.69,99.71,99.48,99.14,99.59,3757240,99.18,99.18,99.18,7151650596.89,7151650596.89,7151650596.89,
8,TQBR,2013-04-04,Сбербанк,SBER,1009,516688826.9,98.86,98.5,101.13,99.89,99.88,99.91,5172930,99.96,99.96,99.96,10618284258.32,10618284258.32,10618284258.32,
9,TQBR,2013-04-05,Сбербанк,SBER,1164,518651795.1,99.88,98.4,100.84,99.29,99.18,99.38,5229210,99.29,99.29,99.29,7522684156.69,7522684156.69,7522684156.69,
10,TQBR,2013-04-08,Сбербанк,SBER,645,509859261.2,99.97,99.83,100.78,100.35,100.36,100.43,5080400,100.31,100.31,100.31,6168250329.99,6168250329.99,6168250329.99,
11,TQBR,2013-04-09,Сбербанк,SBER,843,666111961.9,101.24,100.7,102.62,102.61,101.86,102.53,6539720,101.88,101.88,101.88,7694198810.39,7694198810.39,7694198810.39,
12,TQBR,2013-04-10,Сбербанк,SBER,987,650227971.2,102.79,99.81,102.79,103.28,100.38,100.56,6477440,102.68,102.68,102.68,8527429869.46,8527429869.46,8527429869.46,
13,TQBR,2013-04-11,Сбербанк,SBER,1489,973864091.4,100.78,99.45,100.79,102.43,100.0,100.31,9738330,102.14,102.14,102.14,7794297916.8,7794297916.8,7794297916.8,
14,TQBR,2013-04-12,Сбербанк,SBER,1201,868793728.2,99.67,98.2,100.14,98.43,99.06,98.34,8770130,99.14,99.14,99.14,7484292279.9,7484292279.9,7484292279.9,
