date_time,open,low,high,close,vol
2004-03-08,33.5,32.56,33.57,32.95,148
2004-03-09,32.95,32.14,33.14,32.45,151
2004-03-10,32.45,31.62,32.57,32.27,173
2004-03-11,32.27,32.13,32.88,32.88,90
2004-03-12,32.88,31.64,33.25,32.5,285
2004-03-15,32.5,32.34,33.82,33.5,197
2004-03-16,33.5,32.6,33.54,32.6,99
2004-03-17,32.6,32.5,33.57,33.39,136
2004-03-18,33.39,32.64,33.39,32.89,101
2004-03-19,32.89,32.81,33.38,33.03,101
2004-03-22,33.03,32.39,33.03,32.85,111
2004-03-23,32.85,32.53,33.45,33.45,125
2004-03-24,33.45,32.6,33.6,32.75,131
2004-03-25,32.75,31.67,32.82,31.89,145
2004-03-26,31.89,31.19,32.25,31.66,190
2004-03-29,31.66,31.39,31.76,31.6,69
2004-03-30,31.6,31.51,32.7,32.54,145
2004-03-31,32.54,31.14,33.0,32.22,341
2004-04-01,32.22,30.89,32.22,30.89,134
2004-04-02,30.89,29.94,31.17,30.8,238
2004-04-05,30.8,30.14,30.92,30.69,146
2004-04-06,30.69,30.3,31.35,31.35,145
2004-04-07,31.35,31.05,32.74,32.5,224
2004-04-08,32.5,32.5,33.7,33.7,121
2004-04-13,33.7,32.85,33.7,32.85,86
2004-04-14,32.85,32.42,33.54,33.1,200
2004-04-15,33.1,32.78,33.78,33.78,133
2004-04-16,33.78,33.29,34.04,33.6,133
2004-04-19,33.6,33.35,34.2,33.39,150
2004-04-20,33.39,32.85,33.42,32.85,61
2004-04-21,32.85,32.31,33.07,32.71,139
2004-04-22,32.71,32.64,33.7,33.38,146
2004-04-23,33.38,32.89,33.53,33.35,126
2004-04-26,33.35,33.25,33.85,33.6,96
2004-04-27,33.6,33.54,34.45,34.11,132
2004-04-28,34.11,33.6,34.89,34.03,251
2004-04-29,34.03,33.64,34.61,34.61,137
2004-04-30,34.61,34.35,35.21,35.21,113
2004-05-04,35.21,34.95,36.0,35.75,157
2004-05-05,35.75,35.5,36.89,36.78,176
2004-05-06,36.78,36.39,37.2,36.75,160
2004-05-07,36.75,36.7,37.17,36.74,94
2004-05-10,36.74,35.32,37.0,35.79,242
2004-05-11,35.79,35.56,37.46,37.46,214
2004-05-12,37.46,36.96,38.28,37.85,226
2004-05-13,37.85,37.5,38.53,38.29,163
2004-05-14,38.29,38.18,38.89,38.25,139
2004-05-17,38.25,37.28,38.5,37.45,165
2004-05-18,37.45,36.6,37.71,36.6,138
2004-05-19,36.6,36.39,38.14,38.14,197
2004-05-20,38.14,37.25,38.15,37.25,92
2004-05-21,37.25,36.1,37.35,36.1,136
2004-05-24,36.1,36.0,38.2,37.92,259
2004-05-25,37.92,37.25,38.18,37.5,145
2004-05-26,37.5,36.96,37.89,36.96,133
2004-05-27,36.96,35.95,37.07,35.96,125
2004-05-28,35.96,35.96,37.14,37.14,119
2004-06-01,37.14,37.14,39.11,38.85,224
2004-06-02,38.85,36.82,38.95,36.89,231
2004-06-03,36.89,35.5,37.77,36.28,394
2004-06-04,36.28,35.64,36.28,35.67,68
2004-06-07,35.67,34.79,36.04,35.96,222
2004-06-08,35.96,34.75,36.54,34.75,238
2004-06-09,34.75,34.45,35.43,35.29,143
2004-06-10,35.29,35.29,35.88,35.82,66
2004-06-11,35.82,35.42,35.84,35.75,78
2004-06-14,35.75,35.04,35.89,35.04,100
2004-06-15,35.04,34.75,35.89,35.04,229
2004-06-16,35.04,34.85,35.47,35.34,95
2004-06-17,35.34,35.25,36.45,36.21,154
2004-06-18,36.21,35.81,36.7,36.03,161
2004-06-21,36.03,35.04,36.59,35.2,228
2004-06-22,35.2,35.0,35.7,35.6,101
2004-06-23,35.6,34.85,36.0,35.11,182
2004-06-24,35.11,35.0,35.53,35.2,98
2004-06-25,35.2,34.6,35.25,34.6,71
2004-06-28,34.6,33.47,34.64,33.47,122
2004-06-29,33.47,33.07,33.88,33.31,147
2004-06-30,33.31,33.25,34.54,34.25,165
2004-07-01,34.25,34.17,36.45,35.82,300
2004-07-02,35.82,35.75,36.35,36.1,93
2004-07-05,36.1,36.1,36.64,36.46,73
2004-07-06,36.46,36.46,37.29,37.2,93
2004-07-07,37.2,36.25,37.2,36.82,153
2004-07-08,36.82,36.4,37.79,37.6,201
2004-07-09,37.6,36.95,37.79,36.95,104
2004-07-12,36.95,36.39,37.7,36.39,207
2004-07-13,36.39,36.1,36.89,36.89,109
2004-07-14,36.89,36.6,38.57,38.17,267
2004-07-15,38.17,37.56,38.39,37.56,106
2004-07-16,37.56,37.25,38.5,37.5,245
2004-07-19,37.5,37.5,38.25,38.0,101
2004-07-20,38.0,36.96,38.14,37.06,143
2004-07-21,37.06,36.99,37.65,37.2,119
2004-07-22,37.2,37.04,38.14,38.1,131
2004-07-23,38.1,37.85,38.5,38.5,91
2004-07-26,38.5,37.75,38.5,38.2,121
2004-07-27,38.2,38.0,38.72,38.39,126
2004-07-28,38.39,38.25,39.67,39.25,199
2004-07-29,39.25,38.7,39.54,39.54,140
2004-07-30,39.54,39.45,40.04,39.7,103
2004-08-02,39.7,39.53,40.17,40.17,82
2004-08-03,40.17,39.92,40.75,40.6,124
2004-08-04,40.6,39.7,40.99,39.85,184
2004-08-05,39.85,39.85,41.35,41.35,151
2004-08-06,41.35,40.39,41.5,40.39,127
2004-08-09,40.39,40.27,41.65,41.4,176
2004-08-10,41.4,41.1,41.68,41.2,97
2004-08-11,41.2,40.39,41.7,41.5,233
2004-08-12,41.5,41.5,42.56,42.28,135
2004-08-13,42.28,42.0,43.92,43.85,228
2004-08-16,43.85,42.57,44.1,42.57,179
2004-08-17,42.57,42.14,43.17,42.82,182
2004-08-18,42.82,42.54,43.39,43.25,128
2004-08-19,43.25,43.17,44.5,44.5,142
2004-08-20,44.5,43.29,45.14,43.88,309
2004-08-23,43.88,42.79,44.04,42.79,142
2004-08-24,42.79,42.0,42.99,42.54,174
2004-08-25,42.54,40.42,42.74,40.79,290
2004-08-26,40.79,39.67,41.25,40.86,310
2004-08-27,40.86,39.75,40.88,39.75,116
2004-08-31,39.75,39.2,39.95,39.89,137
2004-09-01,39.89,39.7,41.85,41.39,281
2004-09-02,41.39,41.29,43.03,41.7,318
2004-09-03,41.7,41.1,41.79,41.29,98
2004-09-06,41.29,40.53,41.39,40.61,105
2004-09-07,40.61,40.25,40.89,40.64,126
2004-09-08,40.64,40.06,41.1,40.25,170
2004-09-09,40.25,40.1,42.29,42.2,244
2004-09-10,42.2,40.0,42.6,41.04,405
2004-09-13,41.04,40.29,41.5,41.06,241
2004-09-14,41.06,41.06,42.02,41.92,107
2004-09-15,41.92,40.7,42.29,40.7,197
2004-09-16,40.7,40.0,41.14,41.0,199
2004-09-17,41.0,40.9,42.54,42.54,175
