date_time,open,low,high,close,vol
2016-09-23,46.07,44.34,46.66,44.8,34874
2016-09-26,45.02,44.58,46.32,45.8,18618
2016-09-27,45.85,44.37,46.11,44.68,19783
2016-09-28,45.05,44.56,47.61,46.85,32002
2016-09-29,47.35,46.82,48.54,47.85,23844
2016-09-30,48.04,47.29,48.54,48.19,16567
2016-10-03,48.07,48.06,49.29,48.92,14309
2016-10-04,49.03,48.57,49.43,48.91,17069
2016-10-05,49.46,49.44,50.27,50.03,14175
2016-10-06,50.02,49.66,50.91,50.84,13309
2016-10-07,50.93,49.77,51.1,49.99,18731
2016-10-10,49.66,49.58,51.97,51.52,16711
2016-10-11,51.64,50.73,51.86,51.13,19712
2016-10-12,51.13,50.26,51.51,50.54,17175
2016-10-13,50.23,49.72,50.9,50.77,14599
2016-10-14,50.91,50.25,51.41,50.64,17266
2016-10-17,50.48,49.88,50.95,50.26,10351
2016-10-18,50.5,50.12,50.92,50.66,14540
2016-10-19,51.12,51.01,52.21,51.62,13526
2016-10-20,51.74,50.47,51.84,50.6,14437
2016-10-21,50.71,50.28,51.07,50.93,13932
2016-10-24,50.67,49.74,51.07,50.68,15139
2016-10-25,50.63,49.84,51.05,49.95,16326
2016-10-26,49.42,48.82,50.24,49.28,18276
2016-10-27,49.48,49.21,50.24,49.83,14297
2016-10-28,49.89,48.64,50.02,48.95,16353
2016-10-31,48.57,46.84,48.98,46.86,15332
2016-11-01,47.15,46.44,47.61,47.09,19030
2016-11-02,46.68,45.26,46.73,45.83,16463
2016-11-03,45.97,44.68,46.21,44.96,12263
2016-11-04,45.09,43.89,45.19,44.49,18177
2016-11-07,44.83,44.46,45.35,45.32,13583
2016-11-08,45.31,44.8,45.78,45.1,14202
2016-11-09,45.48,43.55,46.38,46.0,35316
2016-11-10,45.63,44.95,46.2,44.97,23120
2016-11-11,45.04,43.62,45.19,43.75,18941
2016-11-14,44.21,42.84,44.28,44.23,19201
2016-11-15,44.22,44.17,46.61,46.39,20791
2016-11-16,46.31,45.58,46.93,45.92,17908
2016-11-17,45.88,45.47,47.11,45.47,22427
2016-11-18,45.58,45.22,46.48,46.36,23678
2016-11-21,46.95,46.75,48.58,48.47,18676
2016-11-22,48.78,47.32,49.32,47.94,24583
2016-11-23,48.28,47.6,48.61,48.16,19895
2016-11-24,48.32,47.98,48.42,48.15,5201
2016-11-25,48.15,46.19,48.26,46.23,9052
2016-11-28,45.63,45.63,47.92,47.15,26109
2016-11-29,47.23,45.16,47.27,45.53,24066
2016-11-30,45.78,45.75,50.23,49.46,36245
2016-12-01,49.63,49.48,52.18,51.24,23690
2016-12-02,51.53,50.66,52.19,51.99,15681
2016-12-05,51.78,51.58,52.95,51.64,17687
2016-12-06,51.86,50.97,52.26,51.37,16958
2016-12-07,51.61,50.5,51.91,50.62,22876
2016-12-08,50.83,50.42,51.62,51.55,20489
2016-12-09,51.78,51.57,52.37,52.2,16933
2016-12-12,54.43,52.97,55.12,53.09,23023
2016-12-13,53.54,53.18,54.25,53.64,16537
2016-12-14,53.2,51.74,53.7,51.87,20008
2016-12-15,51.89,51.07,52.49,52.07,16031
2016-12-16,52.16,51.58,53.15,52.98,19133
2016-12-19,53.27,52.62,53.63,52.79,12540
2016-12-20,53.18,52.93,53.86,53.37,10102
