date_time,open,low,high,close,vol
1990-01-15,1.1593,1.1486,1.1641,1.1488,2051
1990-01-16,1.1487,1.1421,1.1583,1.1547,2641
1990-01-17,1.1533,1.1516,1.1637,1.1568,2071
1990-01-18,1.1566,1.14,1.157,1.1416,1901
1990-01-19,1.1415,1.138,1.1479,1.1402,1851
1990-01-22,1.1391,1.1321,1.1401,1.1345,1141
1990-01-23,1.1340000000000001,1.1335,1.1573,1.1566,2501
1990-01-24,1.1583,1.1531,1.1663,1.157,2511
1990-01-25,1.157,1.1562,1.1619,1.1613,711
1990-01-26,1.1607,1.1523,1.1628,1.1583,1861
1990-01-29,1.1587,1.1587,1.171,1.1667,1661
1990-01-30,1.1669,1.1415,1.1721,1.1540000000000001,4831
1990-01-31,1.1535,1.1505,1.1651,1.1575,2521
1990-02-01,1.1581,1.1581,1.1683,1.1683,1021
1990-02-02,1.1677,1.1565,1.169,1.1624,1971
1990-02-05,1.1638,1.1632,1.1797,1.1781,1871
1990-02-06,1.1777,1.1757,1.1832,1.1796,1311
1990-02-07,1.1801,1.177,1.1863,1.1775,1601
1990-02-08,1.1772,1.168,1.1776,1.1736,1561
1990-02-09,1.1737,1.167,1.1745,1.173,1431
1990-02-12,1.1735,1.1653,1.1743,1.1653,981
1990-02-13,1.1656,1.1582,1.1689,1.1689,1811
1990-02-14,1.1686,1.1649,1.1723,1.1653,1151
1990-02-15,1.1659,1.1529,1.1672,1.1544,1711
1990-02-16,1.1542,1.1498,1.1678,1.1633,2691
1990-02-19,1.1636,1.1629,1.17,1.1691,871
1990-02-20,1.17,1.1655,1.1735,1.1694,1541
1990-02-21,1.1702,1.1682,1.1758,1.169,1401
1990-02-22,1.1691,1.1675,1.1740000000000002,1.1701,1201
1990-02-23,1.17,1.1626,1.1703,1.1629,831
1990-02-26,1.1617,1.1540000000000001,1.1617,1.1595,1321
1990-02-27,1.1592,1.1555,1.1623,1.1567,1111
1990-02-28,1.1569,1.1458,1.1575,1.147,1351
1990-03-01,1.1466,1.135,1.1478,1.1359,1491
1990-03-02,1.1363,1.1347,1.146,1.1398,1911
1990-03-05,1.1401,1.1397,1.1544,1.1528,1671
1990-03-06,1.1524,1.1465,1.1567,1.1477,1571
1990-03-07,1.148,1.1443,1.1543,1.1543,1371
1990-03-08,1.1539,1.1487,1.1554,1.1499,941
1990-03-09,1.15,1.1464,1.1521,1.1484,981
1990-03-12,1.1487,1.1402,1.1487,1.1422,1051
1990-03-13,1.1416,1.1375,1.145,1.1441,1251
1990-03-14,1.1437,1.1398,1.1467,1.1426,1271
1990-03-15,1.143,1.1419,1.1533,1.1523,1351
1990-03-16,1.1518,1.1502,1.1583,1.1559,1211
1990-03-19,1.1586,1.1576,1.1656,1.1606,1401
1990-03-20,1.1605,1.1458,1.1628,1.1465,2001
1990-03-21,1.1462,1.1414,1.1492,1.1416,1101
1990-03-22,1.1420000000000001,1.141,1.1499,1.1485,1131
1990-03-23,1.1486,1.1412,1.1489,1.1414,821
1990-03-26,1.1373,1.1373,1.1481,1.1440000000000001,1491
1990-03-27,1.1442,1.1395,1.1466,1.1421,1211
1990-03-28,1.1419,1.1394,1.1462,1.1445,1101
1990-03-29,1.1445,1.1443,1.1553,1.1546,1191
1990-03-30,1.1543,1.1506,1.1597,1.1518,1571
1990-04-02,1.1514,1.146,1.153,1.1494,1201
1990-04-03,1.1491,1.1481,1.1525,1.1525,541
1990-04-04,1.1521,1.1498,1.1529,1.151,511
1990-04-05,1.1511,1.1489,1.1522,1.151,651
1990-04-06,1.1507,1.1507,1.1553,1.1539,601
1990-04-09,1.16,1.1540000000000001,1.16,1.1559,791
1990-04-10,1.1557,1.1543,1.1689,1.1679,1701
1990-04-11,1.1679,1.1661,1.1719,1.1706,891
1990-04-12,1.1701,1.1666,1.1726,1.1697,1161
1990-04-16,1.1692,1.1618,1.1693,1.1652,1101
1990-04-17,1.1651,1.1625,1.1673,1.1652,951
1990-04-18,1.1656,1.1638,1.1714,1.1692,1161
1990-04-19,1.1695,1.1623,1.1714,1.1641,1281
1990-04-20,1.1640000000000001,1.1568,1.1662,1.1589,1371
1990-04-23,1.1585,1.147,1.1586,1.1478,1251
1990-04-24,1.1476,1.1473,1.1555,1.1512,1281
1990-04-25,1.1513,1.1513,1.1666,1.1633,1861
1990-04-26,1.1629,1.1625,1.1684,1.1644,1031
1990-04-27,1.165,1.1604,1.1691,1.166,1641
1990-04-30,1.1648,1.162,1.1667,1.1651,911
1990-05-01,1.165,1.1596,1.1652,1.1631,931
1990-05-02,1.1636,1.159,1.1636,1.1598,541
