date_time,open,low,high,close,vol
2014-06-09,144.0,143.03,146.2,144.4,40347300
2014-06-10,144.31,142.67,144.76,144.75,41460990
2014-06-11,145.2,143.9,146.4,146.4,39418520
2014-06-16,144.0,142.58,145.27,145.2,77165360
2014-06-17,145.3,143.72,146.37,144.77,44370530
2014-06-18,144.79,144.43,146.19,145.0,33270240
2014-06-19,146.4,145.04,147.69,145.2,44670940
2014-06-20,145.05,144.28,145.88,145.6,33779020
2014-06-23,146.2,145.07,147.27,147.17,33923270
2014-06-24,147.65,147.56,153.42,153.25,87546740
2014-06-25,152.48,149.01,154.21,149.26,65879300
2014-06-26,149.63,147.02,150.44,147.44,53026000
2014-06-27,148.0,147.22,149.88,149.39,34563280
2014-06-30,149.81,146.58,150.18,148.96,35020610
2014-07-01,148.51,146.65,149.5,148.97,39080070
2014-07-02,149.09,148.9,151.95,151.95,48839500
2014-07-03,152.0,151.41,153.66,152.3,48933580
2014-07-04,153.0,148.25,153.09,149.13,38192290
2014-07-07,149.1,149.09,151.4,150.31,34302070
2014-07-08,150.53,150.52,153.53,151.43,50005770
2014-07-09,151.11,149.01,151.77,150.4,44106880
2014-07-10,150.8,147.1,151.52,148.79,58690960
2014-07-11,148.85,146.91,149.25,148.15,36005010
2014-07-14,148.42,146.51,148.8,147.5,38407230
2014-07-15,147.8,146.52,148.37,146.52,55159950
2014-07-16,140.35,140.1,143.1,142.5,55942320
2014-07-17,140.23,138.23,141.0,140.0,61550720
2014-07-18,138.0,136.5,139.41,139.26,53377680
2014-07-21,140.3,135.2,140.44,136.01,46735750
2014-07-22,136.82,136.05,138.87,137.75,35508000
2014-07-23,138.2,135.2,139.0,136.29,35700000
2014-07-24,136.0,135.15,137.36,136.9,23345280
2014-07-25,136.5,134.22,136.83,135.12,35511270
2014-07-28,134.54,130.9,134.73,132.0,44904250
2014-07-29,132.08,130.55,133.73,131.31,36865680
2014-07-30,130.47,130.1,135.41,133.4,42608490
2014-07-31,134.12,131.21,135.0,132.0,41187230
2014-08-01,130.95,130.21,131.99,131.5,31759700
2014-08-04,132.0,128.25,132.79,129.5,44534400
2014-08-05,129.99,126.28,130.1,126.57,46432510
2014-08-06,126.11,123.23,126.5,124.7,68355310
2014-08-07,124.02,122.79,128.77,126.92,64225030
2014-08-08,126.48,126.33,129.37,126.55,56280080
2014-08-11,128.01,127.84,130.45,128.3,43145400
2014-08-12,128.95,127.24,129.95,128.0,38147150
2014-08-13,127.8,127.7,131.84,131.0,57387480
2014-08-14,131.2,130.34,132.49,131.41,43412620
2014-08-15,131.02,130.62,133.47,132.67,42674890
2014-08-18,132.82,132.11,134.4,134.29,28598600
