date_time,open,low,high,close,vol
2011-12-01,13.65,13.59,13.89,13.87,1316.0
2011-12-02,13.87,13.8,14.05,13.96,1560.0
2011-12-03,13.96,13.91,13.97,13.91,244.0
2011-12-05,14.05,14.01,14.15,14.05,1316.0
2011-12-06,14.05,13.9,14.09,14.01,1560.0
2011-12-07,14.01,13.81,14.04,13.84,1560.0
2011-12-08,13.84,13.82,14.12,14.0,1560.0
2011-12-09,14.0,13.93,14.09,14.03,1560.0
2011-12-10,14.04,14.03,14.07,14.06,244.0
2011-12-12,13.99,13.93,14.06,13.95,1316.0
2011-12-13,13.95,13.91,14.12,13.99,1560.0
2011-12-14,13.99,13.48,14.01,13.53,1560.0
2011-12-15,13.53,13.5,13.7,13.54,1560.0
2011-12-16,13.54,13.51,13.72,13.58,1560.0
2011-12-17,13.58,13.57,13.59,13.59,244.0
2011-12-19,13.66,13.62,13.74,13.68,1316.0
2011-12-20,13.68,13.58,14.1,14.1,1560.0
2011-12-21,14.09,14.0,14.19,14.08,1560.0
2011-12-22,14.08,14.07,14.25,14.22,1560.0
2011-12-23,14.22,14.21,14.4,14.32,1560.0
2011-12-24,14.32,14.31,14.41,14.4,244.0
2011-12-27,14.39,14.39,14.61,14.57,1316.0
2011-12-28,14.57,14.4,14.59,14.43,1560.0
2011-12-29,14.43,14.3,14.47,14.46,1560.0
2011-12-30,14.46,14.41,14.51,14.46,1560.0
2011-12-31,14.46,14.45,14.47,14.46,244.0
2012-01-03,14.61,14.6,14.73,14.7,1316.0
2012-01-04,14.7,14.61,14.81,14.78,1560.0
2012-01-05,14.78,14.73,14.94,14.89,1560.0
2012-01-06,14.89,14.88,15.09,15.07,1560.0
2012-01-07,15.07,15.04,15.09,15.08,244.0
2012-01-09,15.2,15.04,15.27,15.11,1316.0
2012-01-10,15.11,15.05,15.21,15.12,1560.0
2012-01-11,15.12,14.97,15.14,15.05,1560.0
2012-01-12,15.05,14.95,15.1,15.06,1560.0
2012-01-13,15.06,14.95,15.07,14.98,1560.0
2012-01-14,14.98,14.97,15.0,14.99,244.0
2012-01-17,15.15,15.12,15.21,15.13,1316.0
2012-01-18,15.13,15.1,15.3,15.3,1560.0
2012-01-19,15.3,15.29,15.4,15.31,1560.0
2012-01-20,15.32,14.99,15.33,15.01,1560.0
2012-01-21,15.01,15.0,15.05,15.01,244.0
2012-01-23,15.09,15.08,15.3,15.21,1316.0
2012-01-24,15.21,15.03,15.27,15.06,1560.0
2012-01-25,15.06,14.98,16.23,15.95,1560.0
2012-01-26,15.95,15.85,16.02,15.87,1560.0
2012-01-27,15.87,15.82,15.97,15.92,1560.0
2012-01-28,15.92,15.92,16.01,15.98,244.0
2012-01-30,15.91,15.9,16.21,16.19,1316.0
2012-01-31,16.19,16.13,16.36,16.27,1560.0
2012-02-01,16.27,16.26,16.39,16.3,1560.0
2012-02-02,16.3,16.21,16.32,16.24,1560.0
2012-02-03,16.24,16.23,16.42,16.42,1560.0
2012-02-04,16.42,16.39,16.42,16.41,244.0
2012-02-06,16.36,16.36,16.6,16.55,1316.0
2012-02-07,16.55,16.54,16.77,16.75,1560.0
2012-02-08,16.75,16.72,16.97,16.96,1560.0
2012-02-09,16.96,16.95,17.73,17.68,1560.0
2012-02-10,17.69,17.44,17.77,17.64,1560.0
2012-02-11,17.64,17.57,17.65,17.63,244.0
2012-02-13,17.84,17.75,17.99,17.89,1316.0
2012-02-14,17.89,17.87,18.04,18.0,1560.0
2012-02-15,18.0,17.93,18.79,18.02,1560.0
2012-02-16,18.01,17.38,18.03,17.92,1560.0
2012-02-17,17.92,17.87,18.13,17.89,1560.0
2012-02-18,17.89,17.86,17.97,17.93,244.0
2012-02-21,18.1,18.0,18.35,18.12,1316.0
2012-02-22,18.13,18.13,18.41,18.3,1560.0
2012-02-23,18.29,18.19,18.49,18.39,1560.0
2012-02-24,18.39,18.39,18.67,18.59,1560.0
2012-02-25,18.59,18.59,18.66,18.65,244.0
2012-02-27,18.61,18.43,18.85,18.85,1316.0
2012-02-28,18.84,18.73,19.09,19.05,1560.0
2012-02-29,19.05,19.03,19.55,19.42,1560.0
2012-03-01,19.42,19.13,19.57,19.42,1560.0
2012-03-02,19.41,19.36,19.52,19.46,1560.0
2012-03-03,19.46,19.45,19.48,19.46,244.0
2012-03-05,19.48,18.78,19.55,19.0,1316.0
2012-03-06,19.0,18.43,19.1,18.85,1560.0
2012-03-07,18.85,18.75,19.2,18.83,1560.0
2012-03-08,18.83,18.69,19.38,19.32,1560.0
2012-03-09,19.32,19.31,19.56,19.43,1560.0
2012-03-10,19.43,19.39,19.47,19.46,244.0
2012-03-12,19.6,19.53,19.71,19.71,1556.0
