date_time,open,low,high,close,vol
2011-11-27,191.57,191.57,199.66,196.01,780.0
2011-12-04,198.91,188.4,199.0,193.12,1950.0
2011-12-11,190.04,170.25,191.15,181.26,1950.0
2011-12-18,182.0,172.49,183.5,177.28,1949.0
2011-12-25,177.73,166.97,178.59,173.15,1560.0
2012-01-01,176.3,174.05,184.65,182.67,1560.0
2012-01-08,182.76,173.5,184.37,178.51,1949.0
2012-01-15,180.14,178.51,195.94,190.93,1560.0
2012-01-22,190.79,183.82,196.5,195.37,1949.0
2012-01-29,193.68,172.0,195.63,187.68,1950.0
2012-02-05,186.28,181.76,187.63,185.63,1950.0
2012-02-12,187.17,175.14,193.57,182.5,1950.0
2012-02-13,187.17,185.68,191.84,191.84,329.0
2012-02-14,191.81,186.1,193.57,189.06,390.0
2012-02-15,189.06,183.45,191.57,183.88,390.0
2012-02-16,183.79,175.14,185.15,180.97,390.0
2012-02-17,180.84,179.36,182.72,182.04,390.0
2012-02-18,182.08,181.84,183.41,182.5,61.0
2012-02-19,182.65,176.96,184.75,179.14,1560.0
2012-02-21,182.65,180.58,184.75,181.1,329.0
2012-02-22,181.08,180.29,182.99,181.05,390.0
2012-02-23,181.04,176.96,181.4,178.5,390.0
2012-02-24,178.53,178.28,180.74,178.79,390.0
2012-02-25,178.83,178.8,179.3,179.14,61.0
2012-02-26,177.56,176.5,184.29,179.3,1949.0
2012-02-27,177.56,176.5,179.09,178.64,329.0
2012-02-28,178.63,177.95,182.6,182.36,390.0
2012-02-29,182.36,179.6,184.29,179.93,390.0
2012-03-01,179.94,176.58,180.49,179.38,390.0
2012-03-02,179.38,178.88,181.84,179.72,389.0
2012-03-03,179.72,179.05,179.92,179.3,61.0
2012-03-04,179.0,178.04,188.38,184.29,1950.0
2012-03-05,179.0,178.18,181.82,181.11,329.0
2012-03-06,181.07,178.04,183.5,179.71,390.0
2012-03-07,179.75,179.68,185.5,184.3,390.0
2012-03-08,184.29,183.5,187.55,187.47,390.0
2012-03-09,187.5,183.44,188.38,184.34,390.0
2012-03-10,184.34,184.0,184.7,184.29,61.0
2012-03-11,184.13,180.3,185.68,185.05,1949.0
2012-03-12,184.13,182.2,185.4,183.3,389.0
2012-03-13,183.27,180.77,184.87,184.53,389.0
2012-03-14,184.53,181.14,184.72,182.12,390.0
2012-03-15,182.13,180.3,184.18,183.87,390.0
2012-03-16,183.87,182.35,185.68,185.03,390.0
2012-03-17,185.01,184.95,185.09,185.05,1.0
2012-03-18,183.45,182.88,196.2,195.05,1950.0
2012-03-19,183.45,183.0,186.68,185.53,389.0
2012-03-20,185.54,182.88,194.41,192.35,390.0
2012-03-21,192.35,191.26,194.28,191.57,390.0
2012-03-22,191.57,190.26,194.06,192.3,390.0
2012-03-23,192.3,191.8,196.2,195.12,390.0
2012-03-24,195.13,195.04,195.25,195.05,1.0
2012-03-25,196.49,195.5,209.85,202.65,1950.0
2012-03-26,196.49,195.5,202.97,202.75,389.0
2012-03-27,202.75,202.65,209.85,205.76,390.0
2012-03-28,205.77,200.31,207.0,201.15,390.0
2012-03-29,201.15,200.63,205.31,204.62,390.0
2012-03-30,204.6,201.87,206.85,202.62,390.0
2012-03-31,202.6,202.52,202.73,202.65,1.0
2012-04-01,198.02,192.36,202.39,194.4,1560.0
2012-04-02,198.02,197.0,199.9,197.94,389.0
2012-04-03,197.94,197.5,202.39,199.47,390.0
2012-04-04,199.49,192.36,199.66,194.14,390.0
2012-04-05,194.14,193.55,196.03,194.57,390.0
2012-04-06,194.58,194.4,194.7,194.4,1.0
2012-04-08,192.02,185.61,194.2,188.34,1950.0
2012-04-09,192.02,190.5,194.2,191.9,389.0
2012-04-10,191.93,186.57,193.52,186.85,390.0
2012-04-11,186.88,186.65,191.97,188.15,390.0
2012-04-12,188.15,185.61,192.26,190.87,390.0
2012-04-13,190.87,186.26,190.87,188.31,390.0
2012-04-14,188.31,188.2,188.42,188.34,1.0
2012-04-15,189.05,183.65,194.55,189.99,1949.0
2012-04-16,189.05,183.65,189.47,185.22,389.0
2012-04-17,185.22,185.2,190.04,188.67,390.0
2012-04-18,188.67,188.36,193.45,191.16,390.0
2012-04-19,191.17,189.75,194.55,191.14,390.0
2012-04-20,191.14,189.8,193.48,189.99,389.0
2012-04-21,189.99,189.93,190.05,189.99,1.0
2012-04-22,188.99,185.51,228.69,226.85,1950.0
2012-04-23,188.99,185.51,188.99,188.42,389.0
2012-04-24,188.41,186.51,190.7,190.02,390.0
2012-04-25,190.05,190.0,194.8,194.51,390.0
2012-04-26,194.52,193.02,196.36,195.4,390.0
2012-04-27,195.38,195.28,228.69,227.1,390.0
2012-04-28,227.09,226.78,227.18,226.85,1.0
2012-04-29,223.63,223.05,233.84,223.91,1949.0
2012-04-30,223.63,223.05,233.84,231.91,389.0
2012-05-01,231.89,228.4,232.97,230.12,390.0
2012-05-02,230.09,227.4,231.44,230.09,389.0
2012-05-03,230.06,228.03,232.53,229.55,390.0
