date_time,open,low,high,close,vol
2011-12-01,36.01,35.72,36.33,36.29,329.0
2011-12-02,36.29,35.93,36.83,36.73,390.0
2011-12-03,36.73,36.56,36.81,36.6,61.0
2011-12-05,37.04,36.9,37.37,36.97,329.0
2011-12-06,36.97,36.73,37.2,37.03,390.0
2011-12-07,37.03,36.46,37.08,36.79,390.0
2011-12-08,36.78,35.94,37.33,36.01,390.0
2011-12-09,36.01,35.82,36.77,36.69,390.0
2011-12-10,36.68,36.54,36.71,36.54,61.0
2011-12-12,36.14,35.92,36.59,36.58,329.0
2011-12-13,36.58,36.47,37.12,36.65,390.0
2011-12-14,36.65,35.12,36.78,35.12,390.0
2011-12-15,35.12,34.98,35.72,35.22,390.0
2011-12-16,35.22,35.12,35.74,35.45,390.0
2011-12-17,35.45,35.33,35.51,35.34,61.0
2011-12-19,35.39,34.51,35.55,34.8,329.0
2011-12-20,34.8,34.56,36.34,36.27,390.0
2011-12-21,36.27,35.75,36.7,36.07,390.0
2011-12-22,36.07,36.01,37.0,36.84,390.0
2011-12-23,36.85,36.84,37.67,37.53,390.0
2011-12-24,37.53,37.52,37.72,37.72,61.0
2011-12-27,37.61,37.4,37.8,37.64,329.0
2011-12-28,37.64,37.19,37.71,37.28,390.0
2011-12-29,37.28,37.16,37.7,37.58,390.0
2011-12-30,37.57,37.36,37.8,37.51,389.0
2011-12-31,37.51,37.48,37.63,37.49,61.0
2012-01-03,37.97,37.92,38.46,38.28,329.0
2012-01-04,38.28,38.12,38.99,38.84,390.0
2012-01-05,38.84,38.7,39.54,39.35,390.0
2012-01-06,39.35,39.27,40.15,39.84,390.0
2012-01-07,39.83,39.82,40.0,39.91,61.0
2012-01-09,39.72,39.59,40.25,39.69,329.0
2012-01-10,39.68,39.16,39.91,39.74,390.0
2012-01-11,39.74,38.45,39.77,38.72,390.0
2012-01-12,38.72,38.41,38.79,38.7,390.0
2012-01-13,38.7,38.02,38.86,38.24,390.0
2012-01-14,38.24,38.23,38.47,38.38,61.0
2012-01-17,38.69,38.49,38.98,38.54,329.0
2012-01-18,38.54,38.4,39.1,38.92,390.0
2012-01-19,38.92,38.9,39.43,39.35,390.0
2012-01-20,39.35,39.1,39.47,39.16,390.0
2012-01-21,39.17,39.11,39.33,39.3,61.0
2012-01-23,39.38,38.96,39.5,39.28,329.0
2012-01-24,39.28,38.57,39.36,39.13,390.0
2012-01-25,39.14,38.96,39.68,39.46,390.0
2012-01-26,39.46,39.21,39.75,39.23,390.0
2012-01-27,39.25,38.98,39.5,39.23,390.0
2012-01-28,39.24,39.23,39.43,39.26,61.0
2012-01-30,38.71,38.38,39.11,39.01,329.0
2012-01-31,39.01,38.66,39.31,38.84,390.0
2012-02-01,38.84,38.73,39.67,39.54,390.0
2012-02-02,39.54,38.56,39.57,38.91,390.0
2012-02-03,38.92,38.84,40.0,39.99,390.0
2012-02-04,39.99,39.95,40.0,40.0,61.0
2012-02-06,39.99,39.96,40.59,40.42,329.0
2012-02-07,40.43,40.2,40.8,40.58,390.0
2012-02-08,40.58,40.57,41.91,41.44,390.0
2012-02-09,41.43,40.55,41.64,41.57,390.0
2012-02-10,41.56,40.83,41.6,41.28,390.0
2012-02-11,41.28,41.26,41.45,41.44,61.0
2012-02-13,41.62,41.59,41.92,41.84,329.0
2012-02-14,41.84,41.26,41.89,41.38,390.0
2012-02-15,41.38,41.13,41.75,41.32,390.0
2012-02-16,41.31,41.08,41.73,41.6,390.0
2012-02-17,41.6,41.48,41.85,41.74,390.0
2012-02-18,41.73,41.72,41.86,41.76,61.0
2012-02-21,41.8,41.52,41.9,41.57,329.0
2012-02-22,41.57,41.15,41.71,41.19,390.0
2012-02-23,41.19,41.09,41.67,41.45,390.0
2012-02-24,41.45,41.25,41.58,41.3,390.0
2012-02-25,41.3,41.23,41.33,41.31,61.0
2012-02-27,41.7,41.3,41.95,41.72,329.0
2012-02-28,41.71,41.55,41.91,41.84,390.0
2012-02-29,41.84,41.81,42.37,42.17,390.0
2012-03-01,42.17,41.95,42.54,42.35,390.0
2012-03-02,42.36,42.04,42.45,42.34,390.0
2012-03-03,42.33,42.31,42.53,42.39,61.0
2012-03-05,42.35,42.11,42.66,42.64,329.0
2012-03-06,42.63,41.73,42.77,41.85,390.0
2012-03-07,41.84,41.7,42.07,41.81,390.0
2012-03-08,41.81,41.73,42.32,42.07,390.0
2012-03-09,42.08,42.01,42.57,42.21,390.0
2012-03-10,42.2,42.18,42.3,42.24,61.0
2012-03-12,42.53,42.15,42.85,42.36,389.0
2012-03-13,42.36,42.32,44.05,44.03,390.0
2012-03-14,44.02,42.9,44.08,43.47,390.0
2012-03-15,43.47,43.17,43.5,43.48,390.0
2012-03-16,43.48,43.18,43.52,43.19,390.0
2012-03-17,43.19,43.19,43.21,43.21,1.0
2012-03-19,43.07,42.95,43.58,43.45,389.0
2012-03-20,43.44,42.93,43.45,43.26,390.0
2012-03-21,43.26,43.25,43.87,43.28,390.0
2012-03-22,43.28,43.01,43.4,43.29,390.0
2012-03-23,43.29,42.86,43.71,43.7,390.0
2012-03-24,43.71,43.65,43.71,43.66,1.0
2012-03-26,43.92,43.92,44.41,44.4,389.0
2012-03-27,44.41,44.09,44.5,44.19,390.0
2012-03-28,44.19,43.26,44.19,43.51,390.0
2012-03-29,43.5,42.3,43.55,42.98,390.0
2012-03-30,42.98,42.97,43.85,43.73,390.0
2012-03-31,43.74,43.73,43.76,43.75,1.0
2012-04-02,43.59,43.32,44.0,43.8,389.0
2012-04-03,43.8,42.91,43.82,43.28,390.0
2012-04-04,43.28,42.48,43.3,42.93,390.0
2012-04-05,42.92,42.68,43.18,43.08,390.0
2012-04-06,43.07,43.04,43.08,43.06,1.0
2012-04-09,42.13,41.96,42.27,42.13,389.0
2012-04-10,42.13,40.88,42.13,41.02,390.0
2012-04-11,41.02,40.98,41.7,41.38,390.0
2012-04-12,41.38,41.25,42.2,42.13,390.0
2012-04-13,42.14,41.7,42.22,41.85,390.0
2012-04-14,41.84,41.83,41.87,41.87,1.0
2012-04-16,42.06,41.54,42.13,41.72,389.0
2012-04-17,41.72,41.66,42.74,42.72,390.0
2012-04-18,42.71,42.32,42.72,42.5,390.0
2012-04-19,42.49,41.8,42.51,42.07,390.0
2012-04-20,42.07,42.04,42.84,42.36,390.0
2012-04-21,42.36,42.34,42.37,42.37,1.0
2012-04-23,42.25,41.73,42.25,42.01,388.0
2012-04-24,42.02,41.97,42.43,42.18,390.0
2012-04-25,42.17,42.15,42.76,42.72,390.0
2012-04-26,42.72,42.69,43.56,43.3,390.0
2012-04-27,43.3,43.12,43.65,43.35,390.0
2012-04-28,43.35,43.34,43.36,43.35,1.0
2012-04-30,43.32,42.84,43.35,43.13,389.0
2012-05-01,43.13,43.11,44.09,43.78,389.0
2012-05-02,43.78,43.3,43.81,43.52,390.0
2012-05-03,43.52,43.49,44.13,43.83,390.0
2012-05-04,43.83,42.84,43.83,42.95,390.0
2012-05-05,42.95,42.91,42.96,42.92,1.0
2012-05-07,43.72,43.31,43.95,43.87,389.0
2012-05-08,43.87,43.09,44.49,44.44,390.0
2012-05-09,44.45,44.28,45.8,45.07,390.0
2012-05-10,45.07,45.0,45.59,45.26,390.0
2012-05-11,45.26,45.0,45.8,45.57,390.0
2012-05-12,45.57,45.52,45.58,45.53,1.0
2012-05-14,45.16,44.98,45.5,45.15,389.0
2012-05-15,45.14,44.92,45.8,45.05,390.0
2012-05-16,45.05,45.01,45.55,45.13,390.0
2012-05-17,45.13,44.3,45.23,44.36,390.0
2012-05-18,44.36,43.62,44.49,43.76,390.0
2012-05-19,43.77,43.76,43.83,43.81,1.0
2012-05-21,43.81,43.51,44.41,44.4,389.0
2012-05-22,44.4,44.13,44.7,44.37,390.0
2012-05-23,44.37,43.81,44.46,44.23,390.0
2012-05-24,44.22,44.01,44.6,44.41,390.0
2012-05-25,44.41,44.38,44.96,44.48,390.0
2012-05-26,44.48,44.48,44.5,44.49,1.0
2012-05-29,44.7,44.6,45.5,45.45,388.0
2012-05-30,45.45,44.86,45.48,45.22,390.0
2012-05-31,45.21,45.06,46.1,45.75,390.0
2012-06-01,45.76,44.34,45.76,44.37,390.0
2012-06-02,44.37,44.36,44.41,44.38,1.0
2012-06-04,44.47,44.14,44.69,44.48,389.0
2012-06-05,44.48,44.2,44.92,44.84,390.0
2012-06-06,44.83,44.83,45.6,45.45,390.0
2012-06-07,45.46,45.45,46.23,45.71,390.0
2012-06-08,45.71,45.59,46.24,46.24,390.0
2012-06-09,46.24,46.21,46.25,46.25,1.0
2012-06-11,46.34,45.73,46.63,45.75,389.0
2012-06-12,45.75,45.58,46.41,46.41,390.0
2012-06-13,46.41,45.99,46.65,46.17,390.0
2012-06-14,46.17,46.16,47.45,47.15,390.0
2012-06-15,47.15,46.92,47.43,47.12,390.0
2012-06-16,47.13,47.08,47.13,47.08,1.0
2012-06-18,46.96,46.8,47.4,47.13,389.0
2012-06-19,47.13,47.09,48.0,47.51,390.0
2012-06-20,47.52,47.43,47.97,47.68,390.0
2012-06-21,47.68,47.22,47.89,47.34,390.0
2012-06-22,47.34,46.91,47.52,47.33,390.0
2012-06-23,47.33,47.31,47.43,47.41,1.0
2012-06-25,47.22,46.55,47.23,46.72,389.0
2012-06-26,46.73,46.7,47.47,47.36,390.0
2012-06-27,47.36,47.23,48.08,47.87,390.0
2012-06-28,47.86,46.98,47.89,47.8,390.0
2012-06-29,47.79,47.79,48.95,48.48,390.0
2012-06-30,48.48,48.47,48.5,48.49,1.0
