date_time,open,low,high,close,vol
2012-05-18,42.05,38.0,45.0,38.08,269.0
2012-05-19,38.08,38.08,38.38,38.18,1.0
2012-05-21,36.53,33.0,36.66,34.03,389.0
2012-05-22,34.03,30.94,34.1,31.04,390.0
2012-05-23,31.03,31.0,32.5,31.91,390.0
2012-05-24,31.91,31.77,33.21,32.9,390.0
2012-05-25,32.89,31.11,33.03,31.75,390.0
2012-05-26,31.75,31.75,31.91,31.9,1.0
2012-05-29,31.46,28.65,31.69,28.77,389.0
2012-05-30,28.76,27.86,29.55,28.22,390.0
2012-05-31,28.22,26.83,29.4,29.28,390.0
2012-06-01,29.32,27.39,29.67,27.82,390.0
2012-06-02,27.83,27.67,27.83,27.7,1.0
2012-06-04,27.22,26.44,27.65,26.92,389.0
2012-06-05,26.94,25.75,27.76,25.84,390.0
2012-06-06,25.85,25.52,27.17,26.83,390.0
2012-06-07,26.84,26.15,27.35,26.16,390.0
2012-06-08,26.16,26.16,27.76,27.11,390.0
2012-06-09,27.11,27.07,27.12,27.07,1.0
2012-06-11,27.16,26.84,28.07,26.95,389.0
2012-06-12,26.95,26.95,27.77,27.31,390.0
2012-06-13,27.32,27.1,28.1,27.19,390.0
2012-06-14,27.2,27.19,28.27,28.25,390.0
2012-06-15,28.26,28.25,29.93,29.92,390.0
2012-06-16,29.92,29.9,30.1,29.94,1.0
2012-06-18,29.94,29.41,32.08,31.47,389.0
2012-06-19,31.47,30.7,32.18,31.92,390.0
2012-06-20,31.92,31.15,31.95,31.56,390.0
2012-06-21,31.55,31.51,32.5,31.8,390.0
2012-06-22,31.8,31.8,33.45,33.03,390.0
2012-06-23,33.03,32.91,33.24,33.19,1.0
2012-06-25,32.88,31.55,33.02,32.02,389.0
2012-06-26,32.02,32.02,33.44,33.11,390.0
2012-06-27,33.11,31.9,33.12,32.17,390.0
2012-06-28,32.18,30.9,32.23,31.44,390.0
2012-06-29,31.45,30.76,31.99,31.09,390.0
2012-06-30,31.09,31.09,31.11,31.11,1.0
2012-07-02,31.23,30.55,31.73,30.78,389.0
2012-07-03,30.79,30.76,31.44,31.2,211.0
2012-07-05,31.32,31.02,31.63,31.5,389.0
2012-07-06,31.49,31.26,31.9,31.75,390.0
2012-07-07,31.75,31.72,31.8,31.72,1.0
2012-07-09,32.1,31.99,32.88,32.2,389.0
2012-07-10,32.2,31.16,32.48,31.5,390.0
2012-07-11,31.5,30.55,31.56,30.97,390.0
2012-07-12,30.97,30.6,31.4,30.84,390.0
2012-07-13,30.82,30.56,31.07,30.73,390.0
2012-07-14,30.73,30.69,30.74,30.7,1.0
2012-07-16,30.5,28.21,30.5,28.26,389.0
2012-07-17,28.27,27.15,28.59,28.08,390.0
2012-07-18,28.08,28.02,29.29,29.1,390.0
2012-07-19,29.11,28.63,29.5,29.0,390.0
2012-07-20,28.99,28.74,29.47,28.79,390.0
2012-07-21,28.79,28.72,28.8,28.73,1.0
2012-07-23,28.12,28.01,29.0,28.8,389.0
2012-07-24,28.8,28.1,29.45,28.41,390.0
2012-07-25,28.4,28.08,29.49,29.26,390.0
2012-07-26,29.26,26.73,29.37,26.79,390.0
2012-07-27,26.78,22.28,26.98,23.73,390.0
2012-07-28,23.74,23.7,23.74,23.71,1.0
2012-07-30,24.0,23.03,24.04,23.13,389.0
2012-07-31,23.13,21.61,23.37,21.7,390.0
2012-08-01,21.7,20.85,21.71,20.86,390.0
2012-08-02,20.86,19.82,20.89,20.06,390.0
2012-08-03,20.04,19.9,22.16,21.14,390.0
2012-08-04,21.14,21.0,21.17,21.09,1.0
2012-08-06,21.35,21.3,22.15,21.9,389.0
2012-08-07,21.9,20.5,22.45,20.66,390.0
2012-08-08,20.65,20.22,21.15,20.72,390.0
2012-08-09,20.73,20.61,21.17,21.0,390.0
2012-08-10,21.01,20.98,21.82,21.8,390.0
2012-08-11,21.8,21.76,21.82,21.8,1.0
2012-08-13,22.15,21.4,22.45,21.58,389.0
2012-08-14,21.59,20.25,21.62,20.26,390.0
2012-08-15,20.27,20.26,21.41,21.16,390.0
2012-08-16,21.15,19.69,21.22,19.9,390.0
2012-08-17,19.9,19.0,20.08,19.03,390.0
2012-08-18,19.02,19.01,19.07,19.07,1.0
2012-08-20,19.05,18.75,20.13,20.0,389.0
2012-08-21,20.0,19.09,20.03,19.17,390.0
2012-08-22,19.17,18.96,19.53,19.48,390.0
2012-08-23,19.48,19.36,19.73,19.44,390.0
2012-08-24,19.45,19.25,19.68,19.4,390.0
2012-08-25,19.4,19.39,19.43,19.41,1.0
2012-08-27,19.49,19.1,19.53,19.13,389.0
2012-08-28,19.13,18.95,19.38,19.32,390.0
2012-08-29,19.33,19.07,19.38,19.11,390.0
2012-08-30,19.11,19.06,19.45,19.07,390.0
2012-08-31,19.08,18.03,19.1,18.08,390.0
2012-09-01,18.08,18.06,18.08,18.06,1.0
2012-09-04,18.07,17.55,18.27,17.73,389.0
2012-09-05,17.73,17.72,18.75,18.59,390.0
2012-09-06,18.59,18.57,19.26,18.96,390.0
