date_time,open,low,high,close,vol
2011-12-01,24.9,24.4,24.93,24.85,329.0
2011-12-02,24.84,24.71,25.14,24.75,390.0
2011-12-03,24.74,24.6,24.82,24.63,61.0
2011-12-05,25.01,24.79,25.2,25.06,329.0
2011-12-06,25.07,24.87,25.46,25.39,390.0
2011-12-07,25.4,25.13,25.64,25.53,390.0
2011-12-08,25.53,24.87,25.78,24.91,390.0
2011-12-09,24.9,24.38,25.1,25.08,390.0
2011-12-10,25.09,24.96,25.1,25.01,61.0
2011-12-12,24.18,23.61,24.29,23.88,329.0
2011-12-13,23.88,23.42,24.06,23.6,390.0
2011-12-14,23.6,23.14,23.64,23.2,390.0
2011-12-15,23.21,23.19,23.67,23.28,390.0
2011-12-16,23.27,23.25,23.89,23.45,390.0
2011-12-17,23.45,23.23,23.5,23.25,61.0
2011-12-19,23.38,23.11,23.48,23.2,329.0
2011-12-20,23.2,23.05,23.98,23.86,390.0
2011-12-21,23.86,23.43,24.09,23.63,390.0
2011-12-22,23.63,23.59,24.1,24.03,390.0
2011-12-23,24.04,23.97,24.4,24.36,390.0
2011-12-24,24.36,24.34,24.4,24.39,61.0
2011-12-27,24.45,24.4,24.7,24.65,329.0
2011-12-28,24.65,24.25,24.7,24.27,390.0
2011-12-29,24.27,24.18,24.58,24.5,390.0
2011-12-30,24.5,24.3,24.62,24.32,390.0
2011-12-31,24.32,24.25,24.37,24.25,61.0
2012-01-03,24.63,24.39,24.89,24.69,329.0
2012-01-04,24.69,24.52,25.0,24.98,390.0
2012-01-05,24.98,24.94,25.45,25.37,390.0
2012-01-06,25.38,25.01,25.45,25.34,390.0
2012-01-07,25.34,25.23,25.35,25.29,61.0
2012-01-09,25.43,25.22,25.55,25.5,329.0
2012-01-10,25.5,25.46,25.92,25.64,390.0
2012-01-11,25.65,25.34,25.89,25.75,390.0
2012-01-12,25.75,25.54,25.9,25.82,390.0
2012-01-13,25.82,25.12,25.82,25.26,390.0
2012-01-14,25.26,25.1,25.29,25.14,61.0
2012-01-17,25.18,25.02,25.4,25.07,329.0
2012-01-18,25.07,24.97,25.48,25.33,390.0
2012-01-19,25.33,25.29,25.68,25.39,390.0
2012-01-20,25.39,25.37,26.41,26.4,390.0
2012-01-21,26.41,26.3,26.47,26.39,61.0
2012-01-23,26.35,26.34,26.89,26.73,329.0
2012-01-24,26.73,26.61,26.98,26.88,390.0
2012-01-25,26.89,26.5,26.94,26.84,390.0
2012-01-26,26.84,26.63,27.0,26.67,390.0
2012-01-27,26.68,26.59,26.84,26.75,390.0
2012-01-28,26.75,26.71,26.82,26.73,61.0
2012-01-30,26.51,26.27,26.8,26.7,329.0
2012-01-31,26.7,26.28,26.82,26.49,390.0
2012-02-01,26.49,26.4,26.84,26.74,390.0
2012-02-02,26.75,26.46,26.78,26.49,390.0
2012-02-03,26.5,26.47,26.95,26.76,390.0
2012-02-04,26.75,26.7,26.77,26.74,61.0
2012-02-06,26.55,26.36,26.63,26.58,329.0
2012-02-07,26.59,26.43,26.74,26.63,390.0
2012-02-08,26.62,26.61,26.99,26.91,390.0
2012-02-09,26.9,26.79,27.0,26.89,390.0
2012-02-10,26.89,26.45,26.92,26.6,390.0
2012-02-11,26.6,26.52,26.7,26.67,61.0
2012-02-13,26.83,26.52,26.84,26.73,329.0
2012-02-14,26.73,26.5,26.75,26.6,390.0
2012-02-15,26.6,26.5,26.88,26.55,390.0
2012-02-16,26.57,26.35,26.95,26.89,390.0
2012-02-17,26.89,26.81,27.5,27.43,390.0
2012-02-18,27.43,27.37,27.49,27.37,61.0
2012-02-21,27.33,27.01,27.37,27.03,329.0
2012-02-22,27.03,26.51,27.35,26.68,390.0
2012-02-23,26.68,26.35,26.86,26.63,390.0
2012-02-24,26.63,26.45,26.75,26.68,390.0
2012-02-25,26.67,26.65,26.8,26.71,61.0
2012-02-27,26.52,26.45,27.2,26.95,329.0
2012-02-28,26.95,26.82,27.3,27.17,390.0
2012-02-29,27.16,26.84,27.3,26.97,390.0
2012-03-01,26.98,26.74,27.14,26.77,390.0
2012-03-02,26.77,26.71,27.03,26.89,390.0
