date_time,open,low,high,close,vol
2011-12-01,25.58,25.2,25.63,25.3,329.0
2011-12-02,25.3,25.16,25.62,25.24,390.0
2011-12-03,25.25,25.21,25.29,25.22,61.0
2011-12-05,25.77,25.5,25.8,25.72,329.0
2011-12-06,25.72,25.61,25.87,25.77,390.0
2011-12-07,25.77,25.34,25.79,25.51,390.0
2011-12-08,25.51,25.39,25.76,25.51,390.0
2011-12-09,25.52,25.37,25.87,25.84,390.0
2011-12-10,25.84,25.7,25.84,25.7,61.0
2011-12-12,25.41,25.29,25.57,25.39,329.0
2011-12-13,25.39,25.36,26.1,25.89,390.0
2011-12-14,25.9,25.57,25.92,25.61,390.0
2011-12-15,25.61,25.56,25.88,25.66,390.0
2011-12-16,25.66,25.54,26.17,25.94,390.0
2011-12-17,25.95,25.9,26.03,25.98,61.0
2011-12-19,26.0,25.62,26.12,25.7,329.0
2011-12-20,25.7,25.46,26.1,26.0,390.0
2011-12-21,25.99,25.44,26.19,25.64,390.0
2011-12-22,25.64,25.54,25.86,25.8,390.0
2011-12-23,25.8,25.73,26.04,25.98,390.0
2011-12-24,25.97,25.95,26.03,26.02,61.0
2011-12-27,26.0,25.93,26.14,26.07,329.0
2011-12-28,26.07,25.83,26.15,25.88,390.0
2011-12-29,25.88,25.76,26.05,25.96,390.0
2011-12-30,25.97,25.91,26.12,25.95,390.0
2011-12-31,25.95,25.95,26.03,25.97,61.0
2012-01-03,26.55,26.39,26.95,26.94,329.0
2012-01-04,26.94,26.75,27.47,27.44,390.0
2012-01-05,27.44,27.29,27.73,27.64,390.0
2012-01-06,27.63,27.52,28.08,28.07,390.0
2012-01-07,28.07,28.02,28.19,28.12,61.0
2012-01-09,28.04,27.73,28.1,27.78,329.0
2012-01-10,27.78,27.72,28.15,28.0,390.0
2012-01-11,27.99,27.37,28.0,27.95,390.0
2012-01-12,27.94,27.64,27.96,27.95,390.0
2012-01-13,27.95,27.79,28.09,28.07,390.0
2012-01-14,28.07,28.06,28.25,28.25,61.0
2012-01-17,28.42,28.3,28.65,28.34,329.0
2012-01-18,28.34,27.97,28.4,28.14,390.0
2012-01-19,28.13,28.05,28.43,28.14,390.0
2012-01-20,28.14,28.03,29.73,29.55,390.0
2012-01-21,29.55,29.46,29.74,29.71,61.0
2012-01-23,29.53,29.35,29.95,29.69,329.0
2012-01-24,29.7,29.18,29.79,29.35,390.0
2012-01-25,29.35,29.07,29.65,29.57,390.0
2012-01-26,29.57,29.4,29.7,29.51,390.0
2012-01-27,29.52,29.18,29.54,29.28,390.0
2012-01-28,29.27,29.17,29.32,29.22,61.0
2012-01-30,28.99,28.83,29.62,29.54,329.0
2012-01-31,29.53,29.23,29.7,29.61,390.0
2012-02-01,29.61,29.5,30.05,29.97,390.0
2012-02-02,29.97,29.71,30.17,29.96,390.0
2012-02-03,29.95,29.93,30.4,30.28,390.0
2012-02-04,30.28,30.17,30.28,30.22,61.0
2012-02-06,30.08,29.97,30.18,30.07,329.0
2012-02-07,30.07,30.05,30.48,30.3,390.0
2012-02-08,30.3,30.22,30.56,30.56,390.0
2012-02-09,30.56,30.48,30.8,30.72,390.0
2012-02-10,30.73,30.46,30.8,30.55,390.0
2012-02-11,30.55,30.36,30.56,30.48,61.0
2012-02-13,30.65,30.43,30.77,30.67,329.0
2012-02-14,30.67,29.85,30.68,30.08,390.0
2012-02-15,30.08,30.02,30.39,30.09,390.0
2012-02-16,30.09,30.03,31.55,31.34,390.0
2012-02-17,31.34,30.95,31.39,31.18,390.0
2012-02-18,31.18,31.17,31.27,31.26,61.0
2012-02-21,31.2,31.15,31.52,31.31,329.0
2012-02-22,31.3,31.25,31.68,31.36,390.0
2012-02-23,31.36,31.0,31.59,31.31,390.0
2012-02-24,31.32,31.24,31.5,31.39,390.0
2012-02-25,31.39,31.39,31.5,31.49,61.0
2012-02-27,31.25,31.1,31.5,31.43,329.0
2012-02-28,31.42,31.35,31.93,31.73,390.0
2012-02-29,31.72,31.67,32.0,31.71,390.0
2012-03-01,31.72,31.61,32.39,32.27,390.0
2012-03-02,32.27,32.06,32.44,32.1,390.0
2012-03-03,32.09,32.0,32.11,32.08,61.0
2012-03-05,32.01,31.62,32.05,31.8,329.0
2012-03-06,31.8,31.45,31.98,31.59,390.0
2012-03-07,31.59,31.52,31.92,31.84,390.0
2012-03-08,31.84,31.77,32.21,32.11,390.0
2012-03-09,32.11,31.92,32.17,31.99,390.0
2012-03-10,32.0,31.96,32.05,32.0,61.0
2012-03-12,31.97,31.82,32.2,32.04,389.0
2012-03-13,32.04,32.03,32.68,32.68,390.0
2012-03-14,32.68,32.49,32.88,32.76,390.0
2012-03-15,32.75,32.58,32.94,32.84,390.0
2012-03-16,32.83,32.5,32.95,32.59,390.0
2012-03-17,32.59,32.58,32.6,32.6,1.0
2012-03-19,32.55,32.15,32.61,32.16,389.0
2012-03-20,32.17,31.74,32.21,31.98,390.0
2012-03-21,31.98,31.82,32.15,31.98,390.0
2012-03-22,31.98,31.79,32.09,31.99,390.0
2012-03-23,32.0,31.72,32.11,32.02,390.0
2012-03-24,32.02,31.97,32.05,31.97,1.0
2012-03-26,32.19,32.16,32.61,32.55,389.0
2012-03-27,32.56,32.4,32.7,32.51,390.0
2012-03-28,32.51,32.04,32.7,32.16,390.0
2012-03-29,32.16,31.81,32.19,32.17,390.0
2012-03-30,32.17,32.04,32.41,32.25,390.0
2012-03-31,32.26,32.23,32.26,32.24,1.0
2012-04-02,32.22,31.95,32.46,32.27,389.0
2012-04-03,32.27,31.66,32.31,31.93,390.0
2012-04-04,31.93,31.05,31.94,31.2,390.0
2012-04-05,31.2,31.05,31.63,31.52,390.0
2012-04-06,31.52,31.5,31.53,31.51,1.0
2012-04-09,31.27,30.97,31.4,31.11,389.0
2012-04-10,31.11,30.3,31.19,30.47,390.0
2012-04-11,30.47,30.23,30.53,30.32,390.0
2012-04-12,30.33,30.32,31.04,30.98,390.0
2012-04-13,30.98,30.72,31.16,30.8,390.0
2012-04-14,30.8,30.8,30.81,30.81,1.0
2012-04-16,30.99,30.77,31.19,31.11,389.0
2012-04-17,31.11,31.07,31.61,31.5,390.0
2012-04-18,31.49,31.04,31.5,31.16,390.0
2012-04-19,31.16,30.94,31.68,31.04,390.0
2012-04-20,31.05,31.0,32.89,32.44,390.0
2012-04-21,32.44,32.41,32.47,32.42,1.0
2012-04-23,32.3,32.03,32.5,32.15,389.0
2012-04-24,32.15,31.83,32.22,31.89,390.0
2012-04-25,31.89,31.87,32.32,32.2,390.0
2012-04-26,32.2,31.92,32.23,32.07,390.0
2012-04-27,32.06,31.88,32.22,31.94,390.0
2012-04-28,31.94,31.93,31.98,31.98,1.0
2012-04-30,31.99,31.92,32.11,31.99,389.0
2012-05-01,31.99,31.95,32.34,31.99,390.0
2012-05-02,31.99,31.64,32.02,31.79,390.0
2012-05-03,31.79,31.61,31.9,31.78,390.0
2012-05-04,31.77,30.92,31.78,31.0,390.0
2012-05-05,31.0,30.97,31.02,30.97,1.0
2012-05-07,30.69,30.57,30.86,30.7,389.0
2012-05-08,30.7,30.17,30.78,30.5,390.0
2012-05-09,30.5,30.1,30.83,30.76,387.0
2012-05-10,30.77,30.45,31.02,30.72,390.0
2012-05-11,30.72,30.69,31.54,31.2,390.0
2012-05-12,31.2,31.16,31.2,31.17,1.0
2012-05-14,30.76,30.64,31.04,30.66,389.0
2012-05-15,30.66,30.15,30.8,30.23,390.0
2012-05-16,30.22,29.74,30.33,29.96,390.0
2012-05-17,29.96,29.82,30.21,29.82,390.0
2012-05-18,29.82,29.17,29.83,29.24,390.0
2012-05-19,29.24,29.23,29.27,29.27,1.0
2012-05-21,29.09,29.06,29.79,29.77,389.0
2012-05-22,29.77,29.5,29.88,29.74,390.0
2012-05-23,29.74,28.64,29.78,29.09,390.0
2012-05-24,29.09,28.76,29.3,29.05,390.0
2012-05-25,29.05,29.01,29.36,29.06,390.0
2012-05-26,29.06,29.05,29.07,29.05,1.0
2012-05-29,29.38,29.22,29.72,29.58,389.0
2012-05-30,29.57,29.12,29.58,29.4,390.0
2012-05-31,29.4,28.94,29.42,29.22,390.0
2012-06-01,29.22,28.46,29.23,28.46,390.0
2012-06-02,28.46,28.44,28.47,28.44,1.0
2012-06-04,28.63,28.32,28.78,28.54,389.0
2012-06-05,28.54,28.39,28.75,28.54,390.0
2012-06-06,28.55,28.5,29.35,29.33,390.0
2012-06-07,29.32,29.17,29.7,29.25,390.0
2012-06-08,29.25,29.05,29.68,29.62,390.0
2012-06-09,29.62,29.61,29.65,29.64,1.0
2012-06-11,29.78,28.82,29.81,28.84,389.0
2012-06-12,28.84,28.83,29.29,29.29,390.0
2012-06-13,29.29,29.05,29.44,29.1,390.0
2012-06-14,29.11,28.88,29.46,29.35,390.0
2012-06-15,29.35,29.31,30.08,30.01,390.0
2012-06-16,30.01,29.98,30.03,30.02,1.0
2012-06-18,29.99,29.71,30.03,29.8,389.0
2012-06-19,29.81,29.8,31.11,30.71,390.0
2012-06-20,30.7,30.64,31.05,30.88,390.0
2012-06-21,30.88,30.06,31.14,30.11,390.0
2012-06-22,30.11,30.03,30.73,30.73,390.0
2012-06-23,30.72,30.64,30.73,30.7,1.0
2012-06-25,30.3,29.62,30.32,29.84,389.0
2012-06-26,29.85,29.84,30.27,30.04,390.0
2012-06-27,30.05,30.0,30.5,30.16,390.0
2012-06-28,30.16,29.42,30.19,29.93,390.0
2012-06-29,29.92,29.9,30.69,30.52,390.0
2012-06-30,30.51,30.49,30.59,30.58,1.0
2012-07-02,30.62,30.21,30.62,30.55,389.0
2012-07-03,30.55,30.17,30.76,30.76,211.0
2012-07-05,30.53,30.38,30.78,30.72,389.0
2012-07-06,30.73,29.95,30.73,30.18,390.0
2012-07-07,30.18,30.18,30.21,30.19,1.0
2012-07-09,30.12,29.78,30.23,29.98,389.0
2012-07-10,29.98,29.51,30.22,29.77,390.0
2012-07-11,29.77,29.11,29.77,29.32,390.0
2012-07-12,29.32,28.54,29.32,28.6,390.0
2012-07-13,28.6,28.59,29.48,29.43,390.0
2012-07-14,29.43,29.39,29.43,29.4,1.0
2012-07-16,29.5,29.04,29.53,29.4,389.0
2012-07-17,29.4,29.2,29.86,29.65,390.0
2012-07-18,29.65,29.46,30.44,30.44,390.0
2012-07-19,30.44,30.38,30.8,30.66,390.0
2012-07-20,30.66,30.05,31.05,30.05,390.0
2012-07-21,30.05,30.05,30.12,30.08,1.0
2012-07-23,29.53,29.01,29.58,29.25,389.0
2012-07-24,29.25,28.9,29.36,29.12,390.0
2012-07-25,29.11,28.78,29.33,28.78,390.0
2012-07-26,28.78,28.78,29.5,29.2,390.0
2012-07-27,29.2,29.14,29.85,29.72,390.0
2012-07-28,29.71,29.71,29.77,29.77,1.0
2012-07-30,29.75,29.46,29.82,29.6,389.0
2012-07-31,29.6,29.33,29.71,29.5,390.0
2012-08-01,29.5,29.21,29.65,29.39,390.0
2012-08-02,29.38,28.97,29.52,29.18,390.0
2012-08-03,29.18,29.16,29.94,29.8,390.0
2012-08-04,29.8,29.73,29.81,29.75,1.0
2012-08-06,30.0,29.81,30.11,29.92,389.0
2012-08-07,29.93,29.87,30.35,30.24,390.0
2012-08-08,30.25,30.11,30.47,30.28,390.0
2012-08-09,30.28,30.28,30.65,30.47,390.0
2012-08-10,30.47,30.25,30.62,30.4,390.0
2012-08-11,30.4,30.38,30.41,30.41,1.0
2012-08-13,30.35,30.16,30.46,30.36,389.0
2012-08-14,30.36,30.01,30.4,30.12,390.0
2012-08-15,30.11,30.02,30.28,30.22,390.0
