date_time,open,low,high,close,vol
2011-12-01,9.22,9.14,9.59,9.51,329.0
2011-12-02,9.5,9.3,9.78,9.54,390.0
2011-12-03,9.54,9.46,9.54,9.48,61.0
2011-12-05,9.56,9.33,10.27,10.07,329.0
2011-12-06,10.07,9.54,10.11,9.72,390.0
2011-12-07,9.72,9.64,10.34,10.12,390.0
2011-12-08,10.12,9.87,10.42,9.89,390.0
2011-12-09,9.88,9.88,10.24,10.09,390.0
2011-12-10,10.09,10.06,10.16,10.13,61.0
2011-12-12,9.96,9.93,10.98,10.92,329.0
2011-12-13,10.92,10.34,11.08,10.43,390.0
2011-12-14,10.43,9.85,10.46,10.1,390.0
2011-12-15,10.09,9.91,10.28,10.02,388.0
2011-12-16,10.02,9.88,10.12,9.96,389.0
2011-12-17,9.96,9.91,10.0,9.97,61.0
2011-12-19,9.97,9.62,9.97,9.69,328.0
2011-12-20,9.69,9.56,10.23,10.18,390.0
2011-12-21,10.18,10.03,10.34,10.08,390.0
2011-12-22,10.08,10.06,10.63,10.47,390.0
2011-12-23,10.47,10.35,10.65,10.37,387.0
2011-12-24,10.37,10.33,10.38,10.37,61.0
2011-12-27,10.33,10.03,10.36,10.25,329.0
2011-12-28,10.24,9.8,10.25,9.92,388.0
2011-12-29,9.91,9.66,9.98,9.87,390.0
2011-12-30,9.87,9.83,10.08,9.87,389.0
2011-12-31,9.87,9.87,9.98,9.9,61.0
2012-01-03,10.04,10.02,10.39,10.38,329.0
2012-01-04,10.38,10.26,11.38,11.35,390.0
2012-01-05,11.34,11.04,11.69,11.41,390.0
2012-01-06,11.41,11.24,12.47,12.34,390.0
2012-01-07,12.34,12.2,12.38,12.33,61.0
2012-01-09,12.8,12.45,14.05,14.04,329.0
2012-01-10,14.05,13.21,14.26,13.62,390.0
2012-01-11,13.62,13.06,13.8,13.24,390.0
2012-01-12,13.24,12.74,13.3,13.29,390.0
2012-01-13,13.3,12.89,13.79,13.48,390.0
2012-01-14,13.47,13.4,13.63,13.49,61.0
2012-01-17,13.7,13.48,13.98,13.7,329.0
2012-01-18,13.7,13.18,13.88,13.88,390.0
2012-01-19,13.88,13.84,14.93,14.77,390.0
2012-01-20,14.77,14.24,14.97,14.3,390.0
2012-01-21,14.29,14.29,14.36,14.32,61.0
2012-01-23,14.1,13.52,14.23,13.57,329.0
2012-01-24,13.57,13.07,13.61,13.18,390.0
2012-01-25,13.18,13.09,13.6,13.5,390.0
2012-01-26,13.49,13.46,17.05,16.44,390.0
2012-01-27,16.44,16.33,17.23,17.23,390.0
2012-01-28,17.23,17.22,17.71,17.68,61.0
2012-01-30,17.82,17.6,18.5,17.87,329.0
2012-01-31,17.87,16.82,17.97,17.19,390.0
2012-02-01,17.18,16.89,17.68,17.57,390.0
2012-02-02,17.57,17.46,17.96,17.61,390.0
2012-02-03,17.61,17.6,18.21,18.1,390.0
2012-02-04,18.1,17.99,18.1,18.06,61.0
2012-02-06,17.58,17.41,18.66,18.46,329.0
2012-02-07,18.46,18.12,19.06,18.22,390.0
2012-02-08,18.22,17.63,18.37,17.74,390.0
2012-02-09,17.74,17.45,18.14,17.94,390.0
2012-02-10,17.93,17.6,18.04,17.63,390.0
2012-02-11,17.64,17.55,17.73,17.7,61.0
2012-02-13,17.85,16.89,17.85,17.08,329.0
2012-02-14,17.08,16.88,17.75,17.61,390.0
2012-02-15,17.6,17.3,17.9,17.48,390.0
2012-02-16,17.47,17.14,17.73,17.53,389.0
2012-02-17,17.52,17.15,17.58,17.36,390.0
2012-02-18,17.36,17.32,17.45,17.4,61.0
2012-02-21,17.69,16.79,18.02,16.95,329.0
2012-02-22,16.96,15.51,17.02,15.89,390.0
2012-02-23,15.89,15.88,16.31,16.1,389.0
