date_time,open,low,high,close,vol
2011-12-01,6.51,6.39,6.79,6.49,1615.0
2011-12-02,6.49,6.47,6.68,6.67,1785.0
2011-12-03,6.67,6.64,6.73,6.66,290.0
2011-12-05,6.7,6.68,7.0,6.88,1510.0
2011-12-06,6.88,6.8,6.99,6.95,1815.0
2011-12-07,6.95,6.75,6.97,6.79,1715.0
2011-12-08,6.79,5.92,6.85,6.06,1935.0
2011-12-09,6.06,6.05,6.2,6.18,1905.0
2011-12-10,6.18,6.17,6.22,6.2,305.0
2011-12-12,6.08,6.0,6.12,6.05,1595.0
2011-12-13,6.05,5.85,6.18,5.92,1760.0
2011-12-14,5.92,5.6,5.93,5.66,1870.0
2011-12-15,5.66,5.64,5.83,5.68,1745.0
2011-12-16,5.67,5.62,5.78,5.67,1705.0
2011-12-17,5.66,5.59,5.7,5.6,300.0
2011-12-19,5.61,5.53,5.7,5.55,1415.0
2011-12-20,5.54,5.47,5.69,5.59,1810.0
2011-12-21,5.59,5.2,5.61,5.49,1910.0
2011-12-22,5.49,5.46,5.61,5.52,1835.0
2011-12-23,5.52,5.5,5.6,5.54,1560.0
2011-12-24,5.53,5.53,5.59,5.57,300.0
2011-12-27,5.53,5.52,5.75,5.67,1460.0
2011-12-28,5.67,5.6,5.84,5.72,1660.0
2011-12-29,5.72,5.67,5.86,5.74,1560.0
2011-12-30,5.74,5.65,5.79,5.67,1535.0
2011-12-31,5.67,5.67,5.72,5.7,260.0
2012-01-03,5.78,5.53,5.9,5.59,1580.0
2012-01-04,5.59,5.51,5.73,5.53,1845.0
2012-01-05,5.54,5.44,5.58,5.46,1770.0
2012-01-06,5.45,5.28,5.55,5.4,1860.0
2012-01-07,5.4,5.34,5.41,5.38,300.0
2012-01-09,5.4,5.22,5.44,5.43,1500.0
2012-01-10,5.43,5.43,5.55,5.53,1770.0
2012-01-11,5.52,5.46,5.6,5.53,1635.0
2012-01-12,5.52,5.51,5.72,5.61,1630.0
2012-01-13,5.61,5.47,5.7,5.52,1675.0
2012-01-14,5.52,4.52,5.57,4.55,290.0
2012-01-17,5.32,5.28,5.46,5.34,1645.0
2012-01-18,5.34,5.25,5.37,5.31,1835.0
2012-01-19,5.31,5.31,5.54,5.32,1910.0
2012-01-20,5.32,5.28,5.4,5.32,1930.0
2012-01-21,5.32,5.28,5.33,5.31,305.0
2012-01-23,5.36,5.32,5.44,5.33,1435.0
2012-01-24,5.33,5.28,5.5,5.48,1660.0
2012-01-25,5.48,5.41,5.57,5.56,1775.0
2012-01-26,5.56,5.56,5.91,5.76,1940.0
2012-01-27,5.77,5.7,5.94,5.86,1825.0
2012-01-28,5.86,5.83,5.9,5.86,300.0
2012-01-30,5.89,5.7,5.9,5.87,1460.0
2012-01-31,5.87,5.77,6.0,5.82,1725.0
2012-02-01,5.83,5.8,5.94,5.88,1790.0
2012-02-02,5.87,5.86,6.17,6.05,1625.0
2012-02-03,6.04,6.01,6.24,6.19,1680.0
2012-02-04,6.19,6.19,6.26,6.22,290.0
2012-02-06,6.22,6.21,6.37,6.32,1450.0
2012-02-07,6.32,6.16,6.38,6.24,1795.0
2012-02-08,6.24,6.24,6.4,6.33,1645.0
2012-02-09,6.33,6.28,6.56,6.55,1820.0
2012-02-10,6.54,5.96,6.58,6.2,1855.0
2012-02-11,6.2,6.17,6.23,6.21,305.0
2012-02-13,6.31,6.18,6.41,6.23,1445.0
2012-02-14,6.22,6.19,6.48,6.48,1815.0
2012-02-15,6.48,6.45,6.88,6.85,1925.0
2012-02-16,6.85,6.49,6.89,6.83,1890.0
2012-02-17,6.82,6.7,6.97,6.96,1820.0
2012-02-18,6.96,6.93,6.99,6.99,300.0
2012-02-21,6.97,6.76,6.97,6.9,1530.0
2012-02-22,6.9,6.5,6.94,6.91,1910.0
2012-02-23,6.91,6.71,6.99,6.94,1780.0
2012-02-24,6.94,6.65,6.97,6.79,1885.0
2012-02-25,6.78,6.73,6.8,6.75,305.0
2012-02-27,6.68,6.6,6.8,6.8,1570.0
2012-02-28,6.79,6.63,6.88,6.79,1850.0
2012-02-29,6.79,6.65,6.82,6.7,1770.0
2012-03-01,6.7,6.62,6.9,6.85,1745.0
2012-03-02,6.85,6.74,6.9,6.77,1670.0
2012-03-03,6.77,6.76,6.82,6.8,255.0
2012-03-05,6.87,6.69,6.88,6.75,1275.0
2012-03-06,6.75,6.52,6.78,6.58,1605.0
2012-03-07,6.58,6.57,6.66,6.6,1560.0
2012-03-08,6.61,6.59,6.69,6.64,1580.0
2012-03-09,6.65,6.6,7.06,6.88,1805.0
2012-03-10,6.89,6.85,7.0,6.95,300.0
2012-03-12,6.93,6.92,7.25,7.19,1840.0
2012-03-13,7.17,7.1,7.31,7.2,1765.0
2012-03-14,7.19,6.95,7.25,7.04,1940.0
2012-03-15,7.04,6.95,7.09,7.0,1625.0
2012-03-16,7.0,6.96,7.17,7.03,1875.0
2012-03-17,7.05,7.04,7.06,7.06,5.0
2012-03-19,7.05,6.9,7.06,6.99,1810.0
2012-03-20,7.0,6.91,7.04,6.99,1895.0
2012-03-21,6.99,6.92,7.05,7.03,1800.0
2012-03-22,7.03,6.85,7.03,6.87,1645.0
2012-03-23,6.87,6.63,6.92,6.8,1820.0
2012-03-24,6.81,6.8,6.82,6.82,5.0
2012-03-26,7.11,7.0,7.61,7.48,1925.0
2012-03-27,7.48,7.4,7.99,7.61,1915.0
2012-03-28,7.62,7.42,7.68,7.55,1735.0
2012-03-29,7.55,7.4,7.63,7.45,1760.0
2012-03-30,7.45,7.33,7.58,7.44,1705.0
2012-03-31,7.44,7.43,7.44,7.44,5.0
2012-04-02,7.46,7.3,7.59,7.3,1705.0
2012-04-03,7.3,7.3,7.69,7.59,1875.0
2012-04-04,7.58,6.93,7.59,7.0,1925.0
2012-04-05,7.0,6.88,7.08,6.88,1900.0
2012-04-06,6.88,6.88,6.89,6.89,5.0
2012-04-09,6.82,6.62,6.85,6.63,1905.0
2012-04-10,6.63,6.42,6.77,6.48,1935.0
2012-04-11,6.48,6.4,6.65,6.6,1890.0
2012-04-12,6.6,6.58,6.89,6.68,1880.0
2012-04-13,6.67,6.57,6.8,6.71,1705.0
2012-04-14,6.71,6.69,6.71,6.7,5.0
2012-04-16,6.68,6.41,6.74,6.44,1850.0
2012-04-17,6.45,6.4,6.61,6.46,1905.0
2012-04-18,6.45,6.3,6.55,6.53,1710.0
2012-04-19,6.53,6.5,6.68,6.62,1825.0
2012-04-20,6.61,6.58,6.74,6.6,1755.0
2012-04-21,6.6,6.59,6.63,6.63,5.0
2012-04-23,6.57,6.34,6.59,6.4,1850.0
2012-04-24,6.4,6.2,6.44,6.36,1830.0
2012-04-25,6.36,6.35,6.59,6.57,1755.0
