date_time,open,low,high,close,vol
2019-08-05,90.51,87.3,91.0,89.65,1608.0
2019-08-06,87.95,87.95,92.21,90.39,1031.0
2019-08-07,90.1,87.96,93.13,92.46,957.0
2019-08-08,93.1,93.1,95.84,95.0,938.0
2019-08-09,94.94,93.35,95.49,94.2,960.0
2019-08-12,93.5,91.3,94.18,92.4,1089.0
2019-08-13,92.05,92.05,96.15,95.45,1072.0
2019-08-14,95.25,89.89,95.25,92.3,1277.0
2019-08-15,92.52,89.7,93.02,90.66,754.0
2019-08-16,91.05,91.05,95.0,92.55,1426.0
2019-08-19,92.4,92.4,96.19,93.0,1013.0
2019-08-20,93.05,91.14,93.53,91.35,978.0
2019-08-21,91.58,91.58,94.18,93.0,1009.0
2019-08-22,93.33,91.62,95.4,94.0,927.0
2019-08-23,94.05,90.5,94.45,92.0,1283.0
2019-08-26,91.05,91.05,93.5,92.05,824.0
2019-08-27,91.94,90.44,93.68,91.5,854.0
2019-08-28,91.53,88.74,91.85,90.16,1190.0
2019-08-29,90.15,90.15,92.66,90.79,868.0
2019-08-30,90.82,89.07,92.41,91.6,1224.0
2019-09-03,91.62,90.75,94.21,92.46,1420.0
2019-09-04,93.37,90.47,96.0,90.99,1478.0
2019-09-05,93.53,86.0,99.79,89.5,3419.0
2019-09-06,89.8,84.86,96.5,85.15,3967.0
2019-09-09,84.91,77.2,86.19,78.65,4108.0
2019-09-10,78.43,76.69,81.21,79.24,2535.0
2019-09-11,79.86,78.52,81.86,80.72,1491.0
2019-09-12,81.02,79.9,82.65,81.46,1688.0
2019-09-13,81.56,78.33,82.3,78.99,1165.0
2019-09-16,78.84,78.26,80.99,80.6,1666.0
2019-09-17,80.63,79.53,84.81,83.98,1792.0
2019-09-18,84.41,83.48,86.0,84.8,1535.0
2019-09-19,84.58,83.25,85.3,84.6,1141.0
2019-09-20,84.5,81.5,85.33,82.63,1323.0
2019-09-23,82.81,81.85,83.5,82.62,663.0
2019-09-24,82.86,79.46,83.3,79.78,1449.0
2019-09-25,80.08,76.1,80.08,79.6,1644.0
2019-09-26,79.06,78.69,80.79,79.5,958.0
2019-09-27,79.66,75.09,80.69,76.22,1840.0
2019-09-30,76.39,74.33,77.0,76.45,1088.0
2019-10-01,76.63,74.92,77.5,75.32,1164.0
2019-10-02,75.81,73.7,75.81,73.9,1414.0
2019-10-03,73.89,73.43,78.49,76.9,2261.0
2019-10-04,76.8,75.37,77.53,76.53,1311.0
2019-10-07,76.41,75.0,77.43,76.99,1659.0
2019-10-08,77.09,72.59,77.09,73.9,2051.0
2019-10-09,73.68,72.75,75.0,72.86,1340.0
2019-10-10,72.51,71.01,73.78,71.8,1694.0
2019-10-11,71.5,70.92,72.8,71.6,1873.0
2019-10-14,71.49,69.55,71.49,70.52,1583.0
2019-10-15,70.84,68.4,71.5,71.02,3640.0
2019-10-16,70.71,66.51,71.1,67.7,2878.0
2019-10-17,67.72,66.66,68.35,67.1,1815.0
2019-10-18,66.92,64.53,67.15,66.0,2242.0
2019-10-21,66.03,64.16,66.51,65.77,1741.0
2019-10-22,65.72,61.03,65.73,61.49,2325.0
2019-10-23,61.39,61.0,63.75,62.22,1908.0
2019-10-24,62.57,62.55,65.94,64.49,1905.0
2019-10-25,64.51,62.79,64.98,63.4,1317.0
2019-10-28,63.63,62.26,67.47,66.26,1952.0
2019-10-29,66.48,64.8,67.1,65.5,1230.0
2019-10-30,65.52,65.52,70.08,69.4,2149.0
2019-10-31,69.19,66.67,70.53,69.81,1748.0
2019-11-01,69.43,68.04,70.55,70.32,1520.0
2019-11-04,70.51,69.09,70.94,70.16,1370.0
2019-11-05,70.12,66.68,71.03,66.88,1612.0
2019-11-06,65.34,65.34,67.22,66.84,1766.0
2019-11-07,67.03,66.22,68.67,66.88,1015.0
2019-11-08,66.84,66.48,70.0,69.84,1226.0
2019-11-11,69.69,67.78,70.2,68.38,1082.0
2019-11-12,68.41,67.56,70.04,67.97,1377.0
2019-11-13,68.06,66.87,68.46,67.96,1466.0
2019-11-14,67.97,66.8,68.23,67.74,1179.0
2019-11-15,67.89,67.89,71.09,69.99,1643.0
2019-11-18,69.91,68.78,71.1,70.09,1513.0
2019-11-19,70.19,68.2,70.89,69.63,1424.0
2019-11-20,69.52,68.55,71.7,70.95,1999.0
2019-11-21,70.85,69.57,71.95,69.92,1192.0
2019-11-22,70.02,70.02,74.0,73.12,2221.0
2019-11-25,73.65,72.9,75.05,74.55,1535.0
2019-11-26,76.0,74.53,76.0,75.19,1209.0
2019-11-27,75.77,73.36,75.88,74.07,1147.0
2019-11-29,74.0,73.9,74.94,74.5,481.0
2019-12-02,74.7,68.55,75.17,68.96,2250.0
2019-12-03,68.93,66.05,70.52,70.04,1579.0
2019-12-04,70.01,69.21,70.88,69.98,1187.0
2019-12-05,70.03,69.22,70.77,69.69,1659.0
2019-12-06,65.0,62.12,65.0,62.77,4853.0
2019-12-09,63.05,62.31,67.25,65.91,2720.0
2019-12-10,64.42,63.39,65.88,64.55,2058.0
2019-12-11,64.52,62.08,64.54,63.42,2036.0
2019-12-12,63.5,62.12,64.21,62.46,2008.0
2019-12-13,62.96,62.02,63.73,63.54,1873.0
2019-12-16,63.5,63.5,66.38,66.35,1659.0
2019-12-17,66.43,65.41,66.6,66.22,1165.0
2019-12-18,67.5,66.1,68.13,67.56,1121.0
2019-12-19,67.66,67.11,68.45,68.15,1147.0
2019-12-20,68.23,66.44,68.58,66.95,1285.0
2019-12-23,66.94,65.94,67.49,66.25,880.0
2019-12-24,66.16,65.8,66.88,66.46,417.0
2019-12-26,66.4,66.3,68.15,67.47,878.0
2019-12-27,67.38,66.51,68.0,66.62,848.0
2019-12-30,65.15,65.15,67.18,66.8,944.0
2019-12-31,66.5,66.3,68.18,68.05,950.0
2020-01-02,68.36,68.03,69.21,68.7,1185.0
2020-01-03,68.35,67.1,68.68,67.28,1214.0
2020-01-06,67.19,65.88,70.49,70.32,1763.0
2020-01-07,70.45,69.4,72.81,71.91,3132.0
2020-01-08,71.06,69.77,73.27,72.55,1623.0
2020-01-09,72.9,71.35,74.0,72.67,2027.0
2020-01-10,72.88,72.25,73.8,73.07,1325.0
2020-01-13,73.45,73.3,75.57,74.01,2097.0
2020-01-14,74.42,72.28,75.04,73.25,1480.0
2020-01-15,73.28,73.15,77.77,76.95,2731.0
2020-01-16,77.18,75.14,78.79,76.1,2150.0
2020-01-17,76.19,75.49,76.85,75.56,1104.0
2020-01-20,75.62,75.62,75.62,75.62,1.0
2020-01-21,75.61,74.1,77.11,76.73,1632.0
2020-01-22,76.9,75.49,77.37,75.49,1192.0
2020-01-23,74.04,74.04,75.97,74.53,1280.0
2020-01-24,74.9,72.4,76.17,73.09,1461.0
2020-01-27,73.01,70.32,73.06,70.44,1579.0
2020-01-28,70.7,69.55,72.49,71.59,1277.0
2020-01-29,71.39,71.37,74.14,73.58,1013.0
2020-01-30,73.56,72.6,74.78,74.55,1560.0
2020-01-31,74.71,73.38,76.66,76.31,1627.0
2020-02-03,76.48,76.48,88.9,87.65,5046.0
2020-02-04,87.69,83.56,93.12,85.71,3956.0
2020-02-05,85.86,83.83,90.95,87.02,2316.0
2020-02-06,87.77,85.39,89.38,87.23,1482.0
2020-02-07,87.13,86.9,90.55,88.64,1507.0
2020-02-10,88.68,86.95,90.0,89.65,1377.0
2020-02-11,89.67,88.0,90.71,88.65,1483.0
2020-02-12,88.76,86.68,89.47,88.28,1501.0
2020-02-13,88.07,86.85,91.91,89.86,1719.0
2020-02-14,90.17,89.88,91.52,90.92,1262.0
2020-02-18,90.99,90.99,98.1,96.33,2506.0
2020-02-19,98.1,98.1,105.01,103.93,3111.0
2020-02-20,104.67,101.52,110.63,105.19,4394.0
2020-02-21,104.23,98.3,105.0,101.92,2762.0
2020-02-24,102.29,97.24,109.95,104.99,5465.0
2020-02-25,106.87,104.5,111.75,107.08,5576.0
2020-02-26,108.75,105.74,111.23,106.87,3109.0
2020-02-27,106.07,106.07,117.95,113.7,7062.0
2020-02-28,113.87,97.61,123.6,104.79,8207.0
2020-03-02,106.65,102.59,114.45,113.02,4719.0
2020-03-03,108.04,108.04,119.07,117.42,4599.0
2020-03-04,118.74,113.12,124.97,116.7,4310.0
2020-03-05,110.9,106.94,129.68,124.9,9223.0
2020-03-06,126.37,107.01,129.2,114.24,8696.0
2020-03-09,112.08,100.0,116.49,112.84,6163.0
2020-03-10,118.65,105.01,121.98,108.49,4496.0
2020-03-11,105.32,104.55,113.94,111.0,5593.0
2020-03-12,112.46,102.99,113.81,106.5,5590.0
2020-03-13,109.02,104.28,113.75,107.2,3676.0
2020-03-16,110.03,101.44,119.74,108.5,8326.0
2020-03-17,110.09,102.13,116.0,111.44,5935.0
2020-03-18,106.83,106.76,120.32,118.9,4429.0
2020-03-19,119.57,118.39,132.14,124.52,6925.0
2020-03-20,128.61,124.18,135.9,131.22,7853.0
2020-03-23,141.44,134.17,164.8,161.92,14633.0
2020-03-24,165.59,133.89,174.51,137.01,22529.0
2020-03-25,143.41,125.7,162.0,138.05,13003.0
2020-03-26,139.77,138.22,146.56,141.47,6639.0
2020-03-27,140.56,138.0,154.84,151.6,12010.0
2020-03-30,157.17,147.27,162.63,151.11,14512.0
2020-03-31,152.2,143.4,156.88,145.4,9138.0
2020-04-01,142.41,135.2,149.59,137.0,9286.0
2020-04-02,133.64,114.53,134.49,122.01,17617.0
2020-04-03,122.26,119.0,128.75,127.55,9860.0
2020-04-06,128.66,108.59,132.99,123.33,22071.0
2020-04-07,119.09,109.6,124.35,112.81,16969.0
2020-04-08,112.7,108.61,125.82,117.83,51485.0
2020-04-09,119.11,114.05,125.43,125.0,17920.0
2020-04-13,125.07,120.0,136.8,135.91,20088.0
2020-04-14,136.42,133.5,145.19,142.5,12902.0
2020-04-15,142.5,138.45,152.8,152.53,16373.0
2020-04-16,152.73,146.77,157.4,150.75,14254.0
2020-04-17,145.88,143.51,153.75,150.06,11669.0
2020-04-20,152.31,148.34,155.0,149.46,9695.0
2020-04-21,148.0,138.5,154.6,143.9,9136.0
2020-04-22,144.13,143.35,152.24,150.75,6145.0
2020-04-23,151.0,148.54,169.78,169.5,18426.0
2020-04-24,168.0,156.8,181.31,157.45,37406.0
2020-04-27,161.6,152.52,167.7,164.46,21491.0
2020-04-28,167.16,155.28,167.9,156.8,23565.0
2020-04-29,157.29,143.42,163.08,145.6,29234.0
2020-04-30,147.76,133.72,150.0,135.28,18625.0
2020-05-01,135.77,131.06,141.5,138.8,14986.0
2020-05-04,139.97,138.25,144.84,142.69,10600.0
2020-05-05,143.44,140.92,148.36,144.8,10688.0
2020-05-06,145.02,144.09,150.7,150.0,10255.0
2020-05-07,149.39,149.39,161.93,158.0,16660.0
2020-05-08,158.68,152.79,161.23,156.01,9520.0
2020-05-11,157.35,154.2,167.96,165.8,14281.0
2020-05-12,165.11,159.29,168.5,159.69,7114.0
2020-05-13,160.23,159.2,171.41,167.0,11305.0
2020-05-14,166.1,162.93,170.79,168.0,5198.0
2020-05-15,168.04,166.37,175.38,174.8,6529.0
2020-05-18,176.09,162.75,179.0,165.1,9538.0
2020-05-19,165.91,165.4,173.7,173.34,9160.0
