date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2013-09-02,33.0,32.611999999999995,33.197,33.0,696800,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-03,33.148,32.9,33.198,33.198,1257800,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-04,33.329,33.018,33.5,33.327,161400,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-05,33.343,33.0,33.349000000000004,33.34,177200,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-06,33.4,33.06,33.449,33.061,370500,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,33.45936608105224,33.1852,32.911033918947766,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-09,33.369,33.034,33.372,33.299,242400,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,33.454246266388886,33.245000000000005,33.03575373361112,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-10,33.365,33.01,33.365,33.01,376400,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,33.49119880196982,33.2074,32.92360119803018,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-11,33.007,32.7,33.239000000000004,32.896,362000,0.0,0,0.0,0,33.141375000000004,,0,0,,0,0,0,-68.01801801801753,0,0,0,,0,0,0,33.46318339140812,33.1212,32.77921660859188,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-12,32.711,32.6,33.1,32.999,757200,0.0,0,0.0,0,33.10973611111111,,0,0,,0,0,0,-55.6666666666665,0,0,0,,0,0,0,33.32131921287888,33.053,32.78468078712111,1,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-13,32.859,32.602,33.095,32.678000000000004,202200,-65.23653780971348,-2,0.0,0,33.01379475308642,,0,0,,0,0,0,-91.333333333333,1,0,0,,0,0,0,33.3776153536446,32.9764,32.575184646355396,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-16,32.724000000000004,32.595,33.27,33.25,41507100,-47.65283746273165,-2,0.0,0,33.06628480795611,,1,0,,0,0,0,-23.30210772833703,0,0,0,,0,0,0,33.33703023634971,32.96659999999999,32.59616976365027,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-09-17,33.241,33.181,33.8,33.748000000000005,3411700,34.998620503361764,1,0.0,0,33.21777707285475,,1,0,,0,0,0,-4.315352697094819,-1,0,0,192.10677712575952,-1,0,0,33.84702838373098,33.1142,32.381371616269014,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
