date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2018-02-01,2200.0,2082.5,2225.5,2110.0,179977,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-02,2129.0,2015.0,2130.0,2052.0,129069,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-05,2070.0,2013.0,2090.0,2089.5,67260,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-06,2060.0,2005.0,2088.5,2070.0,60393,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-07,2020.0,2020.0,2117.0,2090.0,22826,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,2121.7745487623943,2082.3,2042.825451237606,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-08,2090.0,2060.0,2195.0,2134.0,32091,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,2141.786012836944,2087.1,2032.4139871630562,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-09,2064.0,2035.0,2120.0,2046.0,28724,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,2143.7840219749687,2085.9,2028.0159780250315,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-12,2065.0,2052.5,2125.0,2100.5,11486,0.0,0,0.0,0,2086.5,,1,0,,0,0,0,-56.68934240362812,0,0,0,,0,0,0,2147.1877313831146,2088.1,2029.0122686168852,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-13,2150.0,2091.0,2150.0,2140.0,27529,0.0,0,0.0,0,2098.3888888888887,,1,0,,0,0,0,-28.947368421052634,0,0,0,,0,0,0,2169.9244793566736,2102.1,2034.275520643326,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-14,2149.5,2142.5,2172.0,2150.5,28268,54.5990858342798,2,0.0,0,2109.969135802469,,1,0,,0,0,0,-23.42105263157895,0,0,0,,0,0,0,2190.1699940766175,2114.2,2038.2300059233821,0,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-15,2150.5,2112.0,2155.0,2144.0,22475,60.16985718933649,2,0.0,0,2117.531550068587,,1,0,,0,0,0,-26.842105263157897,0,0,0,,0,0,0,2194.636216124964,2116.2,2037.7637838750356,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-16,2157.5,2080.0,2260.0,2130.0,55935,53.140841579130154,2,0.0,0,2120.302316720012,,1,0,,0,0,0,-54.16666666666667,0,0,0,96.5751633986929,0,0,0,2168.1169474755316,2133.0,2097.8830525244684,0,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-19,2209.0,2060.0,2209.0,2079.5,41100,19.318202003332285,1,0.0,0,2111.235135226676,2102.769230769231,0,1,,0,0,0,-80.22222222222223,1,-100,0,25.356007189270887,0,0,0,2179.863098221687,2128.8,2077.7369017783135,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-20,2075.0,1941.5,2075.5,1979.5,83633,-35.92070399294628,-1,0.0,0,2081.960660731859,2085.1593406593406,0,0,,0,0,0,-88.0690737833595,1,-100,0,-169.0374585111424,1,0,0,2224.0492834687334,2096.7,1969.3507165312662,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-21,1979.5,1905.5,2019.5,1958.0,44033,-65.04542196166837,-2,0.0,0,2054.4138472358904,2066.993720565149,0,0,,0,0,0,-85.1904090267983,1,0,0,-177.3318611684515,1,0,0,2211.0510385964103,2058.2,1905.3489614035893,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-22,1958.0,1930.0,2030.0,1996.5,52056,-69.41145398719813,-2,0.0,0,2041.5441034056926,2056.923189055842,0,0,,0,0,0,-74.33004231311706,0,0,0,-118.95992245775258,1,0,0,2159.232141635686,2028.7,1898.1678583643143,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-26,2020.0,2003.0,2035.0,2017.0,13766,-67.59562376141845,-2,0.0,0,2036.0898582044276,2051.219876333579,0,0,,0,0,0,-68.54724964739069,0,100,0,-66.55698817767896,0,0,0,2089.140712906391,2006.1,1923.0592870936089,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-02-27,2034.0,2003.5,2034.0,2017.0,3936,-62.143502789713196,-2,0.0,0,2031.8476674923327,2046.3313225716392,0,0,,0,0,0,-68.54724964739069,0,0,0,-55.76196949101328,0,0,0,2038.9404896312515,1993.6,1948.2595103687484,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2018-02-28,2006.5,2002.5,2029.0,2015.0,13954,-48.91116770965717,-2,0.0,0,2028.1037413829254,2041.8554193471193,0,0,,0,0,0,-69.1114245416079,0,0,0,-50.46227680146808,0,0,0,2046.103083595715,2000.7,1955.2969164042852,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-03-01,2023.5,1994.5,2040.0,2040.0,56625,9.394421449511487,1,0.0,0,2030.7473544089419,2041.590359440388,1,0,,0,0,0,-55.683690280065896,0,0,0,-35.16483516483567,0,0,0,2044.7144889505585,2017.1,1989.4855110494414,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-03-02,2020.0,1969.5,2044.5,2000.5,93981,56.73512525859915,2,0.0,0,2024.0257200958438,2035.7203080917611,0,0,,0,0,0,-44.11764705882353,0,0,0,-48.4129383313184,0,0,0,2043.2171878374957,2017.9,1992.5828121625045,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-03-05,2006.5,1980.0,2050.0,2016.0,41937,50.819616747800424,2,0.0,0,2022.2422267412119,2032.9031212215095,0,0,,0,0,0,-23.52941176470588,0,0,0,-30.118395807010362,0,0,0,2043.058233376935,2017.7,1992.341766623065,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2018-03-06,2001.5,1930.0,2032.5,1943.5,140872,-40.2643205782104,-1,0.0,0,2004.7439541320537,2020.1312467612938,0,0,,0,0,0,-88.75,1,0,0,-97.01647981375977,0,100,0,2067.674569963787,2003.0,1938.3254300362132,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,0,0
2018-03-07,1957.5,1920.0,1960.0,1946.5,155042,-62.217389964492305,-2,0.0,0,1991.8008532138194,2009.612497223966,0,0,,0,0,0,-79.61538461538461,0,0,0,-146.51311580294367,1,0,0,2065.9201018010326,1989.3,1912.6798981989673,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
