date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2014-06-09,144.0,143.03,146.2,144.4,40347300,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-10,144.31,142.67,144.76,144.75,41460990,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-11,145.2,143.9,146.4,146.4,39418520,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-16,144.0,142.58,145.27,145.2,77165360,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-17,145.3,143.72,146.37,144.77,44370530,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,146.49578159206976,145.10399999999998,143.7122184079302,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-18,144.79,144.43,146.19,145.0,33270240,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,146.44531732158921,145.224,144.00268267841076,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2014-06-19,146.4,145.04,147.69,145.2,44670940,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,146.44534256527643,145.314,144.18265743472355,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-20,145.05,144.28,145.88,145.6,33779020,0.0,0,0.0,0,145.165,,1,0,,0,0,0,-40.90019569471642,0,0,0,,0,0,0,145.70122573038316,145.154,144.60677426961684,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-23,146.2,145.07,147.27,147.17,33923270,0.0,0,0.0,0,145.61055555555555,,1,0,,0,0,0,-10.176125244618625,-1,0,0,,0,0,0,147.25920542309566,145.54799999999997,143.83679457690428,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-24,147.65,147.56,153.42,153.25,87546740,55.51391421781096,2,0.0,0,147.3082098765432,,1,0,,0,0,0,-1.568265682656715,-1,0,0,,0,0,0,153.4403679684182,147.24399999999997,141.04763203158174,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-25,152.48,149.01,154.21,149.26,65879300,61.87244914979122,2,0.0,0,147.74194101508917,,1,0,,0,0,0,-42.56233877901994,0,0,0,,0,0,0,153.98788730374517,148.09599999999998,142.20411269625478,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-26,149.63,147.02,150.44,147.44,53026000,57.69261058527817,2,0.0,0,147.67484301173602,,0,0,,0,0,0,-64.5376549094376,0,0,0,66.28621597892948,0,0,0,153.79246034566185,148.544,143.29553965433817,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-27,148.0,147.22,149.88,149.39,34563280,55.577718852532755,2,0.0,0,148.055989009128,146.75615384615384,1,1,,0,0,0,-48.539778449144194,0,-100,0,67.06754679446674,0,0,0,153.6479111817889,149.302,144.95608881821107,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-30,149.81,146.58,150.18,148.96,35020610,46.85802673338517,2,0.0,0,148.2568803404329,147.070989010989,1,1,,0,0,0,-52.87009063444105,0,0,0,46.76175527195817,0,0,0,153.51117125040727,149.66000000000003,145.80882874959278,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-07-01,148.51,146.65,149.5,148.97,39080070,27.049049277742533,1,0.0,0,148.41535137589224,147.34227629513342,1,1,,0,0,0,-52.76938569989935,0,0,0,33.024050223883854,0,0,0,150.2079145272962,148.80400000000003,147.40008547270386,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
