date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2014-06-09,6974,6971,7076,7029,212826,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-10,7069,6900,7069,6900,207612,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-11,6895,6861,6940,6940,207715,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-16,6700,6548,6700,6649,520423,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-17,6640,6550,6682,6622,219261,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,7153.706616451082,6828.0,6502.293383548918,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-18,6614,6586,6801,6780,276596,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,7034.494830224921,6778.2,6521.905169775078,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-19,6845,6797,6895,6839,188079,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,7003.024893207468,6766.0,6528.975106792532,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-20,6855,6805,6924,6865,247349,0.0,0,0.0,0,6828.0,,1,0,,0,0,0,-39.96212121212121,0,0,0,,0,0,0,6948.23285730327,6751.0,6553.76714269673,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-23,6887,6821,6940,6899,195573,0.0,0,0.0,0,6843.777777777777,,1,0,,0,0,0,-32.629558541266796,0,0,0,,0,0,0,6996.194262210783,6801.0,6605.805737789217,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-24,6909,6848,6925,6895,191568,47.87529461644091,2,0.0,0,6855.16049382716,,1,0,,0,0,0,-11.479591836734695,-1,0,0,,0,0,0,6942.847693379062,6855.6,6768.352306620939,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2014-06-25,6863,6763,6906,6766,191597,62.13237460102535,2,0.0,0,6835.347050754458,,0,0,,0,0,0,-44.38775510204082,0,0,0,,0,0,0,6949.913541795116,6852.8,6755.686458204885,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-26,6773,6678,6819,6720,228827,31.075985554623934,1,0.0,0,6809.714372809023,,0,0,,0,0,0,-56.41025641025641,0,0,0,-57.22183828610917,0,0,0,6974.332721711231,6829.0,6683.667278288769,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-27,6805,6655,6805,6715,120365,-56.282537888723866,-2,0.0,0,6788.666734407018,6816.846153846154,0,0,,0,0,0,-63.559322033898304,0,0,0,-53.307086614172746,0,0,0,6962.956091683091,6799.0,6635.043908316909,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
