date_time,open,low,high,close,vol
2014-06-09,49.59,49.09,49.74,49.42,1740420
2014-06-10,49.35,47.78,49.35,48.6,2858080
2014-06-11,48.56,48.2,49.25,48.33,1747920
2014-06-16,47.9,46.83,48.94,48.3,5256360
2014-06-17,48.3,47.61,48.89,48.39,2565250
2014-06-18,48.53,48.2,49.5,49.17,2450060
2014-06-19,49.6,48.7,50.3,48.97,2394930
2014-06-20,49.17,47.8,49.17,47.8,1778640
2014-06-23,48.0,46.29,48.32,46.85,2543640
2014-06-24,47.02,46.81,47.6,47.46,2674080
2014-06-25,47.32,45.65,47.32,45.8,2119910
2014-06-26,46.03,45.52,46.2,45.75,1407260
2014-06-27,45.0,44.9,47.0,47.0,2929670
2014-06-30,47.33,46.41,47.67,47.38,2318460
2014-07-01,47.29,46.9,47.9,47.72,1775530
2014-07-02,47.72,47.6,48.99,48.8,3193780
2014-07-03,48.57,48.57,49.87,49.69,3029540
2014-07-04,49.69,48.66,49.96,49.09,2445850
2014-07-07,49.14,48.7,50.3,50.1,2148360
2014-07-08,50.42,49.62,50.92,49.97,2735300
2014-07-09,49.92,49.3,50.45,49.53,1785330
2014-07-10,49.58,48.01,50.0,48.4,3045780
2014-07-11,48.46,48.06,48.98,48.9,1700610
2014-07-14,48.86,48.45,49.42,48.9,1241680
2014-07-15,48.9,48.6,50.13,49.47,2223530
2014-07-16,49.44,49.21,50.7,49.99,2633430
2014-07-17,50.0,49.05,50.0,49.9,2905070
2014-07-18,49.18,48.53,49.6,48.79,1923620
2014-07-21,48.9,46.28,48.91,46.28,2743290
2014-07-22,46.55,46.55,48.27,47.72,2558050
2014-07-23,47.86,47.11,48.45,47.36,1454180
2014-07-24,47.04,46.8,48.0,47.92,1179190
2014-07-25,47.86,46.9,47.86,47.27,1688440
2014-07-28,47.34,45.8,47.47,46.2,1670640
2014-07-29,46.35,46.23,47.85,47.65,2063050
2014-07-30,47.25,47.22,49.45,47.6,2236890
2014-07-31,47.53,47.5,48.73,47.5,1930820
2014-08-01,47.51,46.57,47.73,47.3,1456370
2014-08-04,47.41,47.39,48.14,47.73,1906860
2014-08-05,47.8,47.0,48.03,47.0,903880
2014-08-06,46.91,46.13,47.95,46.62,2267070
2014-08-07,46.42,46.23,47.83,46.83,3224810
2014-08-08,46.84,46.63,48.69,48.32,2360780
2014-08-11,48.53,48.52,50.5,49.5,2079710
2014-08-12,49.14,48.6,49.74,48.99,1330410
2014-08-13,48.89,48.71,51.35,51.33,3244390
2014-08-14,51.75,50.46,51.87,50.81,3144340
2014-08-15,50.5,50.36,51.62,51.4,1512450
2014-08-18,51.0,50.63,51.61,51.28,1629420
2014-08-19,51.29,51.29,53.0,52.83,1775460
2014-08-20,52.97,52.52,54.0,53.93,2038350
2014-08-21,54.0,53.34,54.54,53.9,2843590
2014-08-22,53.58,53.09,54.1,54.1,1927700
2014-08-25,54.0,53.66,54.73,54.29,1105340
2014-08-26,54.25,53.7,54.43,53.83,973870
2014-08-27,53.96,53.95,54.6,54.08,978110
2014-08-28,54.0,52.62,54.08,53.58,5479810
2014-08-29,53.47,52.72,54.11,53.26,1649620
2014-09-01,53.44,52.26,54.05,52.36,2612950
2014-09-02,52.38,52.0,52.9,52.65,1346480
2014-09-03,52.67,52.5,54.94,54.39,3757780
2014-09-04,54.49,53.81,54.95,54.62,1647820
2014-09-05,54.5,54.38,55.66,54.55,1684950
2014-09-08,54.55,54.22,56.28,55.19,2286170
2014-09-09,55.23,54.51,55.95,54.55,1903960
2014-09-10,54.5,53.92,54.56,54.1,1052680
2014-09-11,54.25,53.8,54.9,54.0,1986020
2014-09-12,54.11,53.56,54.96,54.9,1138460
2014-09-15,54.57,53.9,55.5,55.26,3787060
2014-09-16,55.33,55.17,57.14,57.05,2900440
2014-09-17,57.15,56.24,57.69,57.34,2395230
2014-09-18,57.32,56.65,57.9,56.65,1671780
2014-09-19,56.72,56.23,57.04,56.34,1531740
2014-09-22,56.03,56.03,57.0,56.26,1451470
2014-09-23,56.06,55.76,56.73,56.23,1420460
2014-09-24,56.49,56.23,57.0,56.26,1332730
2014-09-25,56.45,56.0,57.29,56.1,1368510
2014-09-26,56.08,55.55,56.96,56.9,1212460
2014-09-29,57.0,56.0,57.62,56.22,2382150
2014-09-30,56.48,56.01,57.7,57.62,2196040
2014-10-01,57.55,57.11,58.38,57.82,1352340
2014-10-02,57.445,56.365,57.7,56.93,1704010
2014-10-03,56.985,55.1,57.7,55.645,2491450
2014-10-06,56.35,55.32,56.675,55.865,1572900
2014-10-07,55.905,54.53,56.145,55.0,1850250
2014-10-08,55.0,54.05,55.205,54.65,1405650
2014-10-09,54.9,54.105,55.225,54.17,2383120
2014-10-10,53.75,53.06,53.98,53.305,2697770
2014-10-13,53.21,52.825,53.72,53.0,3216640
2014-10-14,50.4,50.4,54.085,52.75,3152680
2014-10-15,52.545,51.5,53.045,51.56,2498610
2014-10-16,51.66,49.81,52.17,51.85,5106590
2014-10-17,52.0,50.25,52.6,50.285,5676510
2014-10-20,50.215,49.285,50.645,49.925,3228010
2014-10-21,49.925,48.525,50.33,48.75,5831190
2014-10-22,48.9,48.18,49.905,48.84,5045950
