date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2013-04-10,317.74,317.74,317.74,317.74,30,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-17,310.0,310.0,310.0,310.0,1000,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-05-14,310.0,310.0,310.0,310.0,10,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-05-20,277.72,277.72,277.72,277.72,350,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-05-21,307.0,307.0,307.0,307.0,350,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,332.19348992382874,304.492,276.7905100761713,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-05-24,293.0,293.0,293.0,293.0,10,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,324.7369945818294,299.544,274.3510054181706,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-06-24,350.0,349.0,365.68,349.0,50,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,354.8895715708626,307.344,259.7984284291374,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-06-25,317.58,317.58,340.0,323.02,40,0.0,0,0.0,0,310.935,,1,0,,0,0,0,-48.49931787175993,0,0,0,,0,0,0,359.18623944862424,309.948,260.7097605513757,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-06-26,311.5,311.5,311.5,311.5,10,0.0,0,0.0,0,311.06055555555554,,1,0,,0,0,0,-61.59618008185541,0,0,0,,0,0,0,354.29178865536005,316.704,279.11621134463996,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-15,362.0,361.0,366.0,365.0,270,56.97625487804149,2,0.0,0,323.0470987654321,,1,0,,0,0,0,-1.1327594019030363,-1,0,0,,0,0,0,379.93025936478455,328.304,276.6777406352154,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
