date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2013-03-25,96.0,96.0,101.14,98.79,593680,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-03-26,98.58,97.08,99.31,97.2,1283550,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-03-27,97.9,95.39,98.0,96.75,1261950,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-03-28,96.38,95.72,98.66,98.59,1971410,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-03-29,98.6,98.32,99.09,98.76,782000,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,99.75020783972428,98.018,96.28579216027572,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-01,98.37,97.55,99.43,98.07,2279650,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,99.43700223928597,97.874,96.31099776071402,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-02,98.12,98.04,99.45,98.93,3555020,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,99.79886034848154,98.22,96.64113965151846,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-03,98.9,98.69,99.71,99.59,3757240,0.0,0,0.0,0,98.33500000000002,,1,0,,0,0,0,-26.956521739130384,0,0,0,,0,0,0,99.77547354395178,98.78800000000001,97.80052645604825,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-04,98.86,98.5,101.13,99.91,5172930,0.0,0,0.0,0,98.68500000000002,,1,0,,0,0,0,-21.254355400696863,0,0,0,,0,0,0,100.34508313731679,99.05199999999999,97.7589168626832,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-05,99.88,98.4,100.84,99.38,5229210,61.366331287722524,2,0.0,0,98.83944444444445,,1,0,,0,0,0,-30.487804878048806,0,0,0,,0,0,0,100.45209404042447,99.176,97.89990595957553,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-08,99.97,99.83,100.78,100.43,5080400,62.44259379036108,2,0.0,0,99.19290123456791,,1,0,,0,0,0,-12.939001848428633,-1,0,0,,0,0,0,100.65631741035054,99.648,98.63968258964945,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2013-04-09,101.24,100.7,102.62,102.53,6539720,61.26540959774291,2,0.0,0,99.93447873799727,,1,0,,0,0,0,-1.7751479289941476,-1,0,0,194.40731141726934,-1,0,0,102.64295582374713,100.36800000000001,98.09304417625289,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-10,102.79,99.81,102.79,100.56,6477440,59.71424959575313,2,0.0,0,100.07348346288677,99.19153846153846,1,1,,0,0,0,-42.55725190839695,0,0,0,107.310081223125,-1,0,0,102.69978951255843,100.562,98.42421048744157,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-11,100.78,99.45,100.79,100.31,9738330,53.0128533100885,2,0.0,0,100.12604269335638,99.35131868131867,1,1,,0,0,0,-52.21052631578956,0,0,0,48.4757621189408,0,0,0,102.70482912525831,100.642,98.57917087474168,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-12,99.67,98.2,100.14,98.34,8770130,-3.0946596944204545,0,0.0,0,99.72914431705496,99.20684458398743,0,1,,0,0,0,-96.94989106753812,1,-100,0,-47.40917212626627,0,-100,0,103.08870450333404,100.434,97.77929549666595,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-04-15,97.68,95.05,97.69,95.48,9476270,-48.128809848831985,-2,0.0,0,98.78489002437608,98.67443821484638,0,1,,0,0,0,-94.44444444444436,1,0,0,-210.39323393495454,1,0,0,104.21482131294317,99.44399999999999,94.6731786870568,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1
2013-04-16,94.73,94.73,96.88,95.92,8746220,-60.79170819341498,-2,0.0,0,98.14824779673695,98.2809470412969,0,0,,0,0,0,-85.2357320099256,1,0,0,-167.97346831907765,1,0,0,102.37478073735642,98.12199999999999,93.86921926264355,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1
2013-04-17,96.62,93.72,96.62,94.58,12318170,-66.87309222763874,-2,0.0,0,97.35530384190652,97.75224032111163,0,0,,0,0,0,-90.51819184123485,1,100,0,-158.36131631967675,1,0,0,101.12671612942782,96.92599999999999,92.72528387057216,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1
2013-04-18,94.7,94.26,96.49,95.35,11438210,-67.95305039290231,-2,0.0,0,96.90968076592729,97.40906313238139,0,0,,0,0,0,-82.02866593164285,1,100,0,-106.47010647010673,1,100,0,98.49048508699403,95.934,93.37751491300597,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1
2013-04-19,96.3,95.67,96.86,96.22,10456040,-66.06666680313174,-2,0.0,0,96.756418373499,97.23919697061262,0,0,,0,0,0,-72.43660418963618,0,100,0,-63.49047141424277,0,100,0,96.62842746748018,95.50999999999999,94.3915725325198,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1
