date_time,open,low,high,close,vol
2014-06-09,27.152,26.831,27.33,26.942,14903900
2014-06-10,27.0,26.7,27.394,27.394,15981600
2014-06-11,27.37,27.204,27.65,27.559,22255600
2014-06-16,27.4,27.0,27.635,27.351,68023500
2014-06-17,28.121,27.313,28.121,27.792,24434500
2014-06-18,27.842,27.768,28.388,28.184,25750100
2014-06-19,28.4,27.211,28.474,27.248,22542500
2014-06-20,27.09800000000001,26.763,27.318,27.186,18556500
2014-06-23,27.275,27.06,27.498,27.275,11518100
2014-06-24,27.37,27.317,27.825,27.8,19342600
2014-06-25,27.599,26.7,27.699,26.717,19274200
2014-06-26,26.855,26.28,26.928,26.5,14867200
2014-06-27,26.70300000000001,26.257,26.73,26.6,13404200
2014-06-30,26.641,26.111,26.696,26.436,13080400
2014-07-01,26.968000000000004,26.12,26.968000000000004,26.673,13177800
2014-07-02,26.627,26.627,27.484,27.484,22251100
2014-07-03,27.629,27.169,27.629,27.26,8955800
2014-07-04,27.728,26.301,27.728,26.595,17264300
2014-07-07,26.647,26.584,27.143,27.0,14342100
2014-07-08,26.94,26.752,27.35,26.791,16403700
2014-07-09,27.271,26.417,27.271,26.99,18315400
2014-07-10,27.724,26.3,27.724,26.652,24425600
2014-07-11,26.704,26.471,27.0,26.9,16061500
2014-07-14,26.99,26.299,27.0,26.38,17191900
2014-07-15,25.596,25.596,26.219,26.022,21366100
2014-07-16,26.0,25.551,26.456,25.965,22742400
2014-07-17,25.55,25.379,25.856,25.59,23377800
2014-07-18,25.3,24.778,25.568,24.811,27543100
2014-07-21,24.93,24.452,24.967,24.555,28105300
2014-07-22,24.6,24.6,25.327,24.851,25969700
2014-07-23,24.995,24.577,25.103,24.92,14905700
2014-07-24,24.7,24.653,25.077,24.882,18261700
2014-07-25,24.975,24.549,25.03,24.86,15945600
2014-07-28,24.8,24.421,25.0,24.586,19337000
2014-07-29,24.608,24.577,24.992,24.821,18467000
2014-07-30,24.775,24.65,25.3,24.792,21345500
2014-07-31,24.997,24.778,25.018,24.86,13323300
2014-08-01,25.16,24.601,25.627,25.511,16795300
2014-08-04,25.5,25.25,26.435,26.435,39351200
2014-08-05,26.32800000000001,25.35,26.32800000000001,25.365,23851900
2014-08-06,25.325,25.0,25.628,25.108,30489400
2014-08-07,25.001,24.959,25.446,25.072,26964400
2014-08-08,25.15,25.065,25.592,25.269,15607600
2014-08-11,25.38,25.38,25.9,25.47,13286700
2014-08-12,25.586,25.303,25.663,25.355,10203000
2014-08-13,25.363000000000003,25.355,25.955,25.874,24108900
2014-08-14,25.748,25.73,26.469,26.25,24275800
2014-08-15,26.25,26.02,26.377,26.116,16951300
2014-08-18,26.052,25.778,26.255,26.038,11620200
2014-08-19,26.035,25.974,26.7,26.59,16549700
2014-08-20,26.59,26.42,26.915,26.859,14487500
2014-08-21,26.817,26.8,27.2,27.15,18508500
2014-08-22,27.08,26.523000000000003,27.211,26.583,17988000
2014-08-25,27.015,26.592,27.015,26.65,6654000
2014-08-26,26.75,26.5,26.765,26.5,10456900
2014-08-27,26.388,26.3,26.725,26.64,14599900
2014-08-28,26.64,25.789,26.64,26.2,34274200
2014-08-29,26.09800000000001,25.525,26.483,25.525,17096400
2014-09-01,25.778,25.601,26.3,25.601,23388700
2014-09-02,25.629,25.522,25.995,25.995,9349500
2014-09-03,25.903,25.903,26.817,26.323,26944500
2014-09-04,26.417,26.35,26.932,26.775,14635400
2014-09-05,26.928,26.609,27.025,26.766,15255800
2014-09-08,26.75800000000001,26.462,26.897,26.526,14229700
2014-09-09,26.532,26.532,26.89,26.811,9261000
2014-09-10,26.75800000000001,26.671,27.2,27.06,14515000
2014-09-11,27.084,26.94,27.344,26.94,16315500
2014-09-12,26.9,26.763,27.55,26.95,25925500
2014-09-15,26.629,26.563,27.23,27.044,42319200
2014-09-16,27.044,26.903,27.63,27.38,19848000
2014-09-17,27.21,27.21,27.777,27.35,22652000
2014-09-18,27.35,27.113000000000003,27.72,27.31,16445300
2014-09-19,27.3,26.674,27.45,27.136,22430500
2014-09-22,27.04,26.8,27.26,26.8,9666200
2014-09-23,26.858,26.814,27.4,27.263,10306200
2014-09-24,27.37,27.31,27.6,27.459,15353900
2014-09-25,27.498,26.93,27.659,26.93,16243800
2014-09-26,26.902,26.74,27.13,26.977,15686400
2014-09-29,27.049,26.247,27.326,26.384,25215700
2014-09-30,26.479,25.95300000000001,26.622,26.04,23537400
2014-10-01,26.04,25.885,26.5,26.055,16149800
2014-10-02,26.025,25.38,26.14,25.48,23458500
2014-10-03,25.7,25.61,26.4,26.01,23774300
2014-10-06,26.2,26.175,26.9,26.55,25917400
2014-10-07,26.64,26.015,26.84,26.55,18981500
2014-10-08,26.4,26.01,26.445,26.01,17198600
2014-10-09,26.205,26.05,26.48,26.1,17855400
2014-10-10,25.945,25.67,25.99,25.75,14717900
2014-10-13,25.745,25.7,26.67,26.475,18862700
