date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2013-07-10,199.18,199.18,199.18,199.18,10,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-11,198.18,198.18,199.17,199.17,190,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-12,201.29,201.29,201.29,201.29,100,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-17,207.3,206.0,210.0,210.0,800,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-18,208.0,208.0,209.99,209.99,400,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,213.95627895923104,203.926,193.89572104076893,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-19,210.59,210.0,214.7,211.0,2180,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,216.30329516193063,206.29000000000002,196.2767048380694,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-22,215.0,213.0,215.0,213.0,400,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,217.12611871039806,209.05600000000004,200.98588128960202,0,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-23,211.2,210.0,211.2,210.0,400,0.0,0,0.0,0,206.70375,,1,0,,0,0,0,-29.72651605231868,0,0,0,,0,0,0,213.13313682679956,210.79800000000006,208.46286317320056,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-24,207.0,207.0,207.0,207.0,400,0.0,0,0.0,0,206.76958333333334,,1,0,,0,0,0,-47.56242568370989,0,0,0,,0,0,0,214.07656468296202,210.19800000000004,206.31943531703806,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2013-07-25,206.0,206.0,206.0,206.0,200,19.216489724444212,1,0.0,0,206.59856481481484,,0,0,,0,0,0,-65.64551422319471,0,0,0,,0,0,0,214.55363949068422,209.40000000000003,204.24636050931585,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
