date_time,open,low,high,close,vol,regAngle_8,regAngleInterpreter_8,regAngle_35,regAngleInterpreter_35,MA_fast,MA_slow,MA_fast_price_pos,MA_fast_slow_pos,MACD,MACDchg,MACDdiv_short,MACDdiv_long,WILLR,WILLRoverZones,WILLRdiv_short,WILLRdiv_long,CCI,CCIoverZones,CCIdiv_short,CCIdiv_long,upBB,midBB,lowBB,BBTouch,Hummer,ShootingStar,DivBar,w1_open,w1_high,w1_low,w1_close,w1_vol,w1_prcntChng_5,w1_prcntChng_15,w1_regAngle_8,w1_regAngleInterpreter_8,w1_MA_fast,w1_MA_slow,w1_MA_fast_price_pos,w1_MA_fast_slow_pos,w1_MACD,w1_MACDchg,w1_MACDdiv,w1_WILLR,w1_WILLRoverZones,w1_WILLRdiv_short,w1_WILLRdiv_long,w1_Hummer,w1_ShootingStar,w1_DivBar,w1_UpperTimeFrameCondition,sig_elder,sig_channel,sig_DivBar,sig_NR4ID,sig_breakVolatility
2014-06-04,1546.7,1163.0,1546.8,1170.0,35146,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-05,1187.3,1141.1,1195.0,1145.1,24974,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-06,1158.3,1151.0,1173.5,1163.0,7889,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-09,1178.9,1155.7,1185.6,1172.1,7304,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-10,1178.9,1160.1,1181.0,1170.0,3216,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,1183.956063868147,1164.04,1144.1239361318528,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2014-06-11,1175.0,1157.1,1183.0,1179.9,8837,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,1189.5525816688248,1166.02,1142.4874183311751,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-16,1164.0,1150.0,1181.2,1165.0,13904,0.0,0,0.0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,1181.880067339874,1170.0,1158.119932660126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-17,1157.5,1157.5,1187.7,1185.5,8519,0.0,0,0.0,0,1168.825,,1,0,,0,0,0,-89.05595267438993,1,0,0,,0,0,0,1189.0991780590532,1174.5,1159.9008219409468,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-18,1180.1,1176.0,1185.0,1182.9,1455,0.0,0,0.0,0,1171.9527777777778,,1,0,,0,0,0,-22.448979591836526,0,0,0,,0,0,0,1192.3543811602067,1176.6599999999999,1160.965618839793,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,0
2014-06-19,1176.0,1165.0,1182.7,1168.0,1396,47.56709749250152,2,0.0,0,1171.0743827160493,,0,0,,0,0,0,-52.25464190981438,0,0,0,,0,0,0,1192.6973233831511,1176.2599999999998,1159.8226766168484,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-20,1165.2,1160.0,1179.0,1175.0,2702,21.61431385321468,1,0.0,0,1171.9467421124828,,1,0,,0,0,0,-33.68700265251997,0,0,0,,0,0,0,1191.311668659243,1175.28,1159.248331340757,1,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-23,1193.1,1185.0,1218.8,1196.0,14181,47.17612008292989,2,0.0,0,1177.291910531931,,1,0,,0,0,0,-33.13953488372089,0,-100,0,52.9089874359765,0,0,0,1200.5106699829632,1181.48,1162.4493300170368,-1,0,0,-100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-24,1200.0,1191.0,1208.9,1191.8,3895,51.63633856560535,2,0.0,0,1180.5159304137242,1174.176923076923,1,1,,0,0,0,-39.24418604651166,0,-100,0,161.26546339484912,-1,0,0,1203.4303262420033,1182.74,1162.0496737579967,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-25,1185.1,1153.1,1195.0,1176.8,3985,46.559058345264916,2,0.0,0,1179.6901680995632,1174.5516483516483,0,1,,0,0,0,-61.04651162790702,0,-100,0,-11.148197596797363,0,0,0,1202.7412723464083,1181.52,1160.2987276535916,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-26,1185.0,1168.9,1188.5,1185.0,2403,23.057319064605593,1,0.0,0,1180.8701307441047,1176.0442700156984,1,1,,0,0,0,-51.445966514459556,0,100,0,24.441340782123476,0,0,0,1201.2772124765002,1184.9199999999998,1168.5627875234995,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2014-06-27,1172.1,1165.0,1197.0,1185.0,1148,36.33160903723211,1,0.0,0,1181.787879467637,1177.3236600134558,1,1,,0,0,0,-51.445966514459556,0,0,0,29.603647842861825,0,0,0,1200.0668018925378,1186.9199999999998,1173.773198107462,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
