date_time,open,low,high,close,vol
2013-09-02,33.0,32.611999999999995,33.197,33.0,696800
2013-09-03,33.148,32.9,33.198,33.198,1257800
2013-09-04,33.329,33.018,33.5,33.327,161400
2013-09-05,33.343,33.0,33.349000000000004,33.34,177200
2013-09-06,33.4,33.06,33.449,33.061,370500
2013-09-09,33.369,33.034,33.372,33.299,242400
2013-09-10,33.365,33.01,33.365,33.01,376400
2013-09-11,33.007,32.7,33.239000000000004,32.896,362000
2013-09-12,32.711,32.6,33.1,32.999,757200
2013-09-13,32.859,32.602,33.095,32.678000000000004,202200
2013-09-16,32.724000000000004,32.595,33.27,33.25,41507100
2013-09-17,33.241,33.181,33.8,33.748000000000005,3411700
2013-09-18,33.9,33.887,35.4,35.1,2413900
2013-09-19,34.922,34.651,35.45,35.099000000000004,973900
2013-09-20,35.348,34.311,35.348,34.51,339700
2013-09-23,34.845,34.5,35.256,35.115,301900
2013-09-24,35.119,34.812,35.119,34.9,353900
2013-09-25,34.95,34.867,35.5,35.488,1479100
2013-09-26,35.143,35.024,35.5,35.5,1008400
2013-09-27,35.401,35.399,37.347,36.8,1252700
2013-09-30,36.987,35.671,37.55,36.0,665100
2013-10-01,35.559,35.559,36.95,36.255,492600
2013-10-02,36.3,36.3,39.5,38.502,2876100
2013-10-03,38.799,38.6,40.989,39.0,1938800
2013-10-04,38.941,37.751,38.942,38.7,725600
2013-10-07,38.7,37.6,38.7,37.652,905600
2013-10-08,37.621,37.518,37.85,37.777,714400
2013-10-09,37.6,36.997,37.776,37.0,868400
2013-10-10,37.0,36.75,37.097,36.88,1944900
2013-10-11,36.997,34.75,36.997,34.75,2621700
2013-10-14,34.771,34.751999999999995,35.49,34.823,929400
2013-10-15,35.393,34.777,35.398,35.0,1490900
2013-10-16,34.999,34.855,35.01,34.999,530500
2013-10-17,34.126,34.126,35.469,35.1,468400
2013-10-18,35.1,35.003,35.398,35.244,1079000
2013-10-21,35.418,35.0,35.48,35.003,366500
2013-10-22,35.39,34.96,35.39,34.96,270000
2013-10-23,34.951,34.58,34.981,34.85,790600
2013-10-24,34.656,34.656,35.0,34.9,1112900
2013-10-25,34.946,34.58,35.0,34.95,1977500
2013-10-28,34.95,34.95,35.799,35.25,37784000
2013-10-29,35.22400000000001,35.011,36.153,36.153,31713200
2013-10-30,36.157,36.053,38.081,37.4,29626300
2013-10-31,37.4,36.032,37.635,36.219,5338300
2013-11-01,36.511,35.7,36.8,35.951,4123000
2013-11-05,36.005,35.192,36.36,35.2,4857100
2013-11-06,35.257,35.257,36.043,36.0,4257500
2013-11-07,35.75,35.695,36.1,36.1,3862900
2013-11-08,36.0,35.828,36.116,36.1,1820100
2013-11-11,36.1,35.966,36.225,36.14,1104200
2013-11-12,35.89,35.4,36.203,35.712,1203400
2013-11-13,35.325,34.753,35.514,34.753,8015100
2013-11-14,34.875,34.875,35.48900000000001,35.484,2417300
2013-11-15,35.484,35.124,35.539,35.361,2790400
2013-11-18,35.361,35.31,35.64,35.51,1077600
2013-11-19,35.644,35.253,35.898,35.75,5481100
2013-11-20,35.552,35.3,35.797,35.648,1251300
2013-11-21,35.75,35.296,35.75,35.399,1004100
2013-11-22,35.499,35.22,35.698,35.38,1012800
2013-11-25,35.3,35.05,35.399,35.056,601200
2013-11-26,35.1,34.102,35.1,34.959,1234800
2013-11-27,34.781,33.001,34.853,34.1,2070900
2013-11-28,34.1,33.934,34.398,34.25,1462700
2013-11-29,34.1,34.012,35.312,34.914,1538800
2013-12-02,34.919000000000004,34.721,35.879,35.825,2183900
2013-12-03,36.077,35.09,36.077,35.289,1861000
2013-12-04,35.15,34.765,35.389,35.049,387400
2013-12-05,34.801,34.801,35.293,35.123000000000005,418200
2013-12-06,34.806,34.806,35.499,35.445,1814300
2013-12-09,35.113,35.011,35.703,35.029,1479400
2013-12-10,35.23699999999999,34.322,35.23699999999999,34.831,1785000
2013-12-11,34.552,34.291,34.928000000000004,34.38,1560200
2013-12-12,34.233000000000004,33.111,34.233000000000004,33.19,1828500
2013-12-13,33.288000000000004,32.723,33.597,32.9,1575800
2013-12-16,31.406,31.406,33.1,32.75,2233000
2013-12-17,32.893,32.75,33.44,33.198,1765200
2013-12-18,33.23,33.111,34.168,34.05,2103400
2013-12-19,34.293,34.01,34.693000000000005,34.418,1523200
2013-12-20,34.29,34.155,34.635,34.63,861700
2013-12-23,34.716,34.0,34.716,34.077,1220600
2013-12-24,34.3,34.016,34.42,34.382,373800
2013-12-25,34.161,34.161,34.57,34.549,639400
2013-12-26,34.238,34.238,35.001,34.906,2763000
2013-12-27,34.854,34.68,35.05,34.8,1644300
2013-12-30,34.728,34.601,36.014,35.67,2301500
2014-01-06,35.399,33.405,35.399,33.679,1537100
2014-01-08,33.788000000000004,32.9,34.0,33.076,1478700
2014-01-09,33.289,32.201,33.39,32.75,1744300
2014-01-10,32.99,32.289,33.3,33.2,2966600
2014-01-13,33.203,33.203,33.83,33.5,1665100
2014-01-14,33.263000000000005,32.301,33.331,32.648,2790700
2014-01-15,32.772,32.099000000000004,33.07,32.267,3253900
2014-01-16,32.554,31.708,32.601,32.0,6643500
2014-01-17,32.191,31.854,32.3,32.03,3203000
2014-01-20,32.197,32.197,32.889,32.77,3322300
2014-01-21,32.933,32.872,33.761,33.7,3090800
2014-01-22,34.531,33.508,34.531,33.889,1992600
2014-01-23,33.702,33.7,35.15,35.0,4033900
2014-01-24,34.805,34.7,35.984,35.67,7982900
2014-01-27,35.301,35.018,35.80300000000001,35.75,2440200
2014-01-28,35.839,35.444,36.49,36.301,3151900
2014-01-29,36.268,34.82,36.851,35.3,4612100
2014-01-30,35.48,34.65,36.2,36.169,3872900
2014-01-31,35.844,35.839,36.98,36.5,3400600
2014-02-03,38.08,35.68,38.08,35.7,1591400
2014-02-04,35.537,34.35,35.537,34.462,4548200
2014-02-05,34.708,34.346,36.001,35.956,3251600
2014-02-06,36.088,36.088,36.78,36.77,2398500
2014-02-07,36.895,36.5,36.937,36.571,1397200
2014-02-10,36.5,36.341,36.79,36.789,1439600
2014-02-11,36.565,36.4,37.35,37.149,2429900
2014-02-12,37.35,36.554,37.394,36.994,1551400
2014-02-13,36.809,35.62,36.994,35.67,1189400
2014-02-14,36.009,35.515,36.35,36.2,2086900
2014-02-17,36.2,35.8,36.481,36.0,1027000
2014-02-18,36.0,35.82,36.197,36.16,8681100
2014-02-19,35.509,35.509,36.6,36.54,2179300
2014-02-20,36.5,35.801,36.656,36.637,1635200
2014-02-21,36.952,36.516,37.0,36.977,1658400
2014-02-24,36.823,36.82,37.099,37.001,2748600
2014-02-25,37.093,36.92,37.093,36.92,1735300
2014-02-26,36.823,36.823,37.25,37.249,2851300
2014-02-27,37.298,36.912,37.61,37.61,4237500
2014-02-28,37.105,37.105,39.499,38.73,5676100
2014-03-03,36.579,34.501999999999995,37.897,35.523,8738900
2014-03-04,35.978,35.767,37.499,37.435,6020300
2014-03-05,37.107,36.451,37.59,37.1,2645400
2014-03-06,36.7,36.7,37.602,36.99800000000001,3548300
2014-03-07,36.7,36.1,37.362,36.801,3376200
2014-03-11,36.999,36.277,37.336,37.0,2556000
2014-03-12,36.011,36.001,37.0,36.4,5051400
2014-03-13,36.5,35.123000000000005,36.7,36.2,4249400
2014-03-14,35.898,29.2,35.898,33.637,10613500
2014-03-17,33.64,33.11,35.898,33.455,5481100
2014-03-18,33.501,31.722,33.98,32.894,3521900
2014-03-19,33.0,32.75,33.775,32.998000000000005,3111000
2014-03-20,32.79,32.659,33.6,33.6,2522400
2014-03-21,32.255,32.255,34.39,34.27,2141500
2014-03-24,34.292,33.901,35.49,34.449,1903700
2014-03-25,34.693000000000005,33.22,34.805,34.208,3039700
2014-03-26,34.396,33.851,34.58,34.01,5926200
2014-03-27,34.1,33.565,34.598,34.464,3645500
2014-03-28,34.655,34.167,34.86,34.76,1342000
2014-03-31,35.308,34.5,36.744,36.063,3053300
2014-04-01,36.717,36.016,38.468,37.952,4530400
2014-04-02,37.951,37.7,38.1,38.0,1148700
2014-04-03,37.99800000000001,37.942,38.4,38.19,5241900
2014-04-04,38.526,38.04,38.526,38.3,5807700
2014-04-07,37.999,36.4,38.336,36.45,2513600
2014-04-08,36.156,36.156,37.084,36.82,2666900
2014-04-09,36.973,36.973,38.04,37.55,4220300
2014-04-10,37.602,37.602,38.225,38.203,3213200
2014-04-11,37.974,37.287,38.544,38.32,2294900
2014-04-14,38.4,37.4,38.4,37.4,2604700
2014-04-15,37.501,36.03,37.898,37.404,3181300
2014-04-16,37.422,36.794,37.518,37.12,1360600
2014-04-17,37.315,36.79,37.803,36.9,1488100
2014-04-18,37.4,36.721,37.99,36.753,1310400
2014-04-21,36.91,36.521,36.96,36.655,342400
2014-04-22,36.94300000000001,36.095,36.94300000000001,36.4,1537300
2014-04-23,36.689,35.51,36.689,36.0,3942800
2014-04-24,36.169,35.12,36.169,35.426,1863300
2014-04-25,35.142,35.0,36.254,35.75,4726900
2014-04-28,35.751,34.9,36.275,35.5,6178300
2014-04-29,35.701,35.201,35.881,35.3,2344400
2014-04-30,35.351,35.203,37.149,36.812,4018500
2014-05-02,37.607,35.906,37.607,36.0,3374100
2014-05-05,36.188,35.65,36.283,35.8,1329100
2014-05-06,35.99800000000001,35.806,36.332,36.0,3574600
2014-05-07,35.81,35.677,37.6,37.501,4689600
2014-05-08,37.406,37.03,37.94,37.03,1821000
2014-05-12,37.289,37.095,38.5,38.2,3979200
2014-05-13,38.45,38.401,40.099,39.8,9098200
2014-05-14,40.114,39.753,40.971,40.44,8408500
2014-05-15,40.9,39.978,41.95,40.8,18119800
2014-05-16,40.8,40.37,41.19300000000001,40.6,6297700
2014-05-19,40.953,39.055,40.953,39.055,6820900
2014-05-20,39.05,38.929,39.56,39.485,5034300
2014-05-21,39.361,38.549,39.5,39.101,11120900
2014-05-22,39.5,38.701,39.977,39.678,5254300
2014-05-23,39.699,39.299,39.7,39.5,11193400
2014-05-26,39.85,38.9,40.1,40.0,6672300
2014-05-27,39.997,38.956,40.5,39.6,12186000
2014-05-28,39.17,39.162,40.2,40.2,13941700
2014-05-29,40.397,39.94300000000001,41.73,41.317,13929500
2014-05-30,41.49800000000001,40.604,42.51,41.3,87649400
2014-06-02,41.4,40.832,43.0,42.85,8348300
2014-06-03,43.004,41.859,44.75,44.75,16524800
2014-06-04,44.75100000000001,43.651,45.197,44.01,7105900
2014-06-05,43.99800000000001,43.801,44.95,44.35,6146900
2014-06-06,44.102,41.25,44.36,41.452,16138300
2014-06-09,41.269,40.356,41.654,40.8,6273300
2014-06-10,41.905,40.358,41.905,40.65,5612600
2014-06-11,40.978,39.734,41.2,40.3,5963200
2014-06-16,39.679,38.857,41.38,40.038,16410000
2014-06-17,40.001,39.6,40.714,39.878,5242500
2014-06-18,40.041,39.926,40.586,40.459,2887100
2014-06-19,40.595,40.38,42.0,42.0,6850700
2014-06-20,42.175,40.5,42.222,41.0,6786700
2014-06-23,41.425,41.037,42.199,41.1,4716800
2014-06-24,41.37300000000001,41.342,43.489,43.4,15132100
2014-06-25,44.274,41.944,44.274,42.5,13905100
2014-06-26,43.271,41.36,43.595,42.5,6297500
2014-06-27,42.864,41.6,43.136,42.0,4575900
2014-06-30,41.999,41.03100000000001,42.245,41.8,8092600
2014-07-01,41.926,41.803,42.462,42.2,2682000
2014-07-02,42.917,42.119,44.403,44.403,3808200
2014-07-03,44.399,44.216,44.88,44.7,6956500
2014-07-04,44.756,44.151,46.0,45.0,5606100
2014-07-07,44.32100000000001,44.02,45.449,45.4,3122100
2014-07-08,45.982,45.291,49.44,45.975,5522500
2014-07-09,46.198,45.53100000000001,47.0,46.25,3672800
2014-07-10,46.488,42.66,46.758,44.0,5260100
2014-07-11,43.788,43.578,45.47,44.702,3253200
2014-07-14,44.493,44.493,45.355,44.625,3030400
2014-07-15,44.221,43.862,45.018,44.75,4328100
2014-07-16,45.054,44.26,48.0,48.0,9295700
2014-07-17,45.825,44.6,45.857,44.8,4195200
2014-07-18,44.50100000000001,42.81399999999999,46.21100000000001,46.21100000000001,3900200
2014-07-21,45.997,43.231,45.997,43.87,4999300
2014-07-22,43.897,42.15,44.788,42.215,4271900
2014-07-23,42.5,42.41,43.999,43.019,2447400
2014-07-24,42.835,42.646,44.0,44.0,3266300
2014-07-25,44.76300000000001,43.053,44.889,44.5,5716300
2014-07-28,44.269,42.58,44.723,42.652,6434000
2014-07-29,42.65,42.342,43.26,43.0,3943500
2014-07-30,42.8,42.8,45.0,43.57,5706100
2014-07-31,43.75,43.75,44.35,44.1,2568900
2014-08-01,44.1,43.872,44.661,44.0,1784000
2014-08-04,44.119,44.057,45.88800000000001,45.88800000000001,1917800
2014-08-05,45.698,44.217,45.699,44.8,6039300
2014-08-06,44.933,44.1,46.444,44.1,6114200
2014-08-07,43.26600000000001,41.481,44.462,43.87,7128600
2014-08-08,44.107,43.188,44.5,43.3,3363700
2014-08-11,44.1,42.695,44.294,42.695,3123800
2014-08-12,42.925,42.669,43.95,43.78,2762600
2014-08-13,43.125,43.125,44.55,44.48,3148300
2014-08-14,43.703,43.703,45.184,44.0,3797600
2014-08-15,43.361,43.361,44.352,44.0,2697100
2014-08-18,46.39,43.235,46.39,43.6,1664200
2014-08-19,43.654,43.081,43.893,43.299,1469900
2014-08-20,43.105,42.95,43.65,43.3,2142100
2014-08-21,43.226000000000006,43.032,43.95,43.7,2289200
2014-08-22,43.7,43.3,44.4,43.4,2781700
2014-08-25,44.45,43.488,44.45,43.5,1585700
2014-08-26,43.69,43.42,43.85,43.85,951200
2014-08-27,43.815,43.665,44.98,44.895,1558400
2014-08-28,44.727,43.307,44.75,43.8,3577800
2014-08-29,43.75100000000001,42.351000000000006,44.25,42.5,5955600
2014-09-01,42.5,40.05,42.75,40.05,4403400
2014-09-02,40.125,38.65,40.333,39.6,6441000
2014-09-03,39.697,39.152,41.56,41.0,13554200
2014-09-04,41.49800000000001,40.6,42.898,41.37,5243300
2014-09-05,41.717,41.239,42.237,41.59,2546300
2014-09-08,41.61,40.715,41.94,41.0,2528900
2014-09-09,40.351,40.351,41.735,41.037,1428600
2014-09-10,41.0,40.03,41.0,40.5,3110500
2014-09-11,40.51,38.592,41.147,38.592,8396600
2014-09-12,38.685,36.561,38.686,36.799,14211100
2014-09-15,36.251,35.651,37.19,36.0,9748000
2014-09-16,36.103,35.901,37.765,37.4,13169400
2014-09-17,37.4,36.053,37.8,37.155,9259800
2014-09-18,37.36,37.141,38.75,38.4,8964800
2014-09-19,38.5,37.7,38.582,38.45,5770300
2014-09-22,38.225,37.05,38.451,37.3,6498300
2014-09-23,37.3,37.3,38.397,37.519,3416700
2014-09-24,38.4,36.711,38.4,36.976,4889600
2014-09-25,37.134,36.976,37.68,37.0,3055400
2014-09-26,36.407,36.407,37.18,36.453,3063200
2014-09-29,36.447,34.5,36.866,34.83,3051500
2014-09-30,34.315,34.132,36.15,35.5,9800100
2014-10-01,35.5,35.47,36.49,36.1,2230100
2014-10-02,36.5,35.77,36.5,36.19,3217000
2014-10-03,36.42,36.15,37.03,36.4,2135200
2014-10-06,36.7,36.33,37.75,37.75,2763600
2014-10-07,37.5,37.45,39.38,38.59,5342900
2014-10-08,37.42,37.42,39.0,37.94,6252000
2014-10-09,38.53,37.9,38.87,38.67,5000900
2014-10-10,37.84,37.74,39.5,39.5,8254600
2014-10-13,39.3,39.13,40.47,40.21,3671200
2014-10-14,40.11,38.55,41.37,39.0,10395500
2014-10-15,39.3,38.11,39.78,38.7,4571300
2014-10-16,38.41,38.26,39.28,38.42,5710100
2014-10-17,38.42,38.08,39.35,39.17,1889100
2014-10-20,39.2,39.2,40.35,39.3,3905500
2014-10-21,39.23,38.0,39.23,38.6,1969300
2014-10-22,39.71,38.0,39.71,38.03,2632000
2014-10-23,37.96,37.21,38.27,38.25,3703500
2014-10-24,38.03,37.86,38.34,38.33,2418500
2014-10-27,38.6,38.11,39.03,38.22,3131800
2014-10-28,37.6,37.6,38.97,38.25,2246100
2014-10-29,38.25,37.05,38.4,37.05,3472800
2014-10-30,37.08,37.08,38.26,38.26,5672400
2014-10-31,38.26,38.11,38.85,38.5,4348400
2014-11-03,38.5,37.83,38.85,38.75,2989000
2014-11-05,38.68,38.18,39.5,39.5,4037000
2014-11-06,39.5,38.21,39.89,38.85,2627700
2014-11-07,39.05,37.5,39.8,39.52,4777900
2014-11-10,39.74,39.74,41.49,41.49,7099000
